model,mnist_c_variant,accuracy,experiment
VGG19_2022-04-04_183636__it16250_e3.pt,saturate,0.9828,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,motion_blur,0.9569,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,snow,0.9821,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,inverse,0.2527,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,impulse_noise,0.9602,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,stripe,0.922,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,quantize,0.9899,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,frost,0.9856,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,pixelate,0.9688,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,dotted_line,0.9368,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,gaussian_blur,0.9352,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,elastic_transform,0.8683,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,jpeg_compression,0.9866,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,speckle_noise,0.9825,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,identity,0.9893,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,glass_blur,0.9494,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,spatter,0.9757,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,translate,0.5454,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,fog,0.8651,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,shear,0.9706,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,scale,0.9427,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,zigzag,0.8402,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,defocus_blur,0.929,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,gaussian_noise,0.9495,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,contrast,0.1344,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,canny_edges,0.7216,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,zoom_blur,0.9752,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,line,0.8044,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,pessimal_noise,0.8685,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,rotate,0.9081,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,brightness,0.9681,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,shot_noise,0.9808,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,saturate,0.9805,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,motion_blur,0.9495,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,snow,0.8996,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,inverse,0.2963,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,impulse_noise,0.959,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,stripe,0.8868,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,quantize,0.9882,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,frost,0.6608,vgg19
