model,mnist_c_variant,accuracy,experiment
2022-04-24_004459_LCL5_d2__it23750_e4.pt,pixelate,0.9752,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,dotted_line,0.977,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,gaussian_blur,0.885,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,elastic_transform,0.8964,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,jpeg_compression,0.9912,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,speckle_noise,0.9848,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,identity,0.9929,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,glass_blur,0.9574,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,spatter,0.9689,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,translate,0.6038,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,fog,0.9872,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,shear,0.9775,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,scale,0.9573,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,zigzag,0.9277,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,defocus_blur,0.9525,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,gaussian_noise,0.9764,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,contrast,0.9894,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,canny_edges,0.6769,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,zoom_blur,0.9841,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,line,0.9019,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,pessimal_noise,0.964,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,rotate,0.9189,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,brightness,0.99,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,shot_noise,0.9829,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,saturate,0.9856,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,motion_blur,0.9502,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,snow,0.9835,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,inverse,0.2418,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,impulse_noise,0.9675,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,stripe,0.8931,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,quantize,0.9917,vgg19r_lcl5
2022-04-24_004459_LCL5_d2__it23750_e4.pt,frost,0.9854,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,pixelate,0.9766,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,dotted_line,0.9771,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,gaussian_blur,0.8851,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,elastic_transform,0.8834,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,jpeg_compression,0.9912,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,speckle_noise,0.9855,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,identity,0.9922,vgg19r_lcl5
