model,mnist_c_variant,accuracy,experiment
VGG19_2022-04-04_175945__it15000_e3.pt,line,0.8918,vggonly
VGG19_2022-04-04_175945__it15000_e3.pt,gaussian_noise,0.9723,vggonly
VGG19_2022-04-04_183636__it13750_e2.pt,spatter,0.9774,vggonly
VGG19_2022-04-04_183636__it13750_e2.pt,shot_noise,0.9862,vggonly
VGG19_2022-04-04_183636__it13750_e2.pt,pessimal_noise,0.958,vggonly
VGG19_2022-04-04_183636__it13750_e2.pt,identity,0.993,vggonly
VGG19_2022-04-04_183636__it13750_e2.pt,dotted_line,0.975,vggonly
VGG19_2022-04-04_183636__it13750_e2.pt,impulse_noise,0.9735,vggonly
VGG19_2022-04-04_183636__it13750_e2.pt,line,0.8926,vggonly
VGG19_2022-04-04_183636__it13750_e2.pt,gaussian_noise,0.9793,vggonly
VGG19_2022-04-04_191333__it18750_e3.pt,spatter,0.9824,vggonly
VGG19_2022-04-04_191333__it18750_e3.pt,shot_noise,0.9883,vggonly
VGG19_2022-04-04_191333__it18750_e3.pt,pessimal_noise,0.9338,vggonly
VGG19_2022-04-04_191333__it18750_e3.pt,identity,0.991,vggonly
VGG19_2022-04-04_191333__it18750_e3.pt,dotted_line,0.9513,vggonly
VGG19_2022-04-04_191333__it18750_e3.pt,impulse_noise,0.9652,vggonly
VGG19_2022-04-04_191333__it18750_e3.pt,line,0.8298,vggonly
VGG19_2022-04-04_191333__it18750_e3.pt,gaussian_noise,0.9584,vggonly
VGG19_2022-04-04_160910__it17500_e3.pt,spatter,0.9692,vggonly
VGG19_2022-04-04_160910__it17500_e3.pt,shot_noise,0.9844,vggonly
VGG19_2022-04-04_160910__it17500_e3.pt,pessimal_noise,0.9414,vggonly
VGG19_2022-04-04_160910__it17500_e3.pt,identity,0.9929,vggonly
VGG19_2022-04-04_160910__it17500_e3.pt,dotted_line,0.9546,vggonly
VGG19_2022-04-04_160910__it17500_e3.pt,impulse_noise,0.9549,vggonly
VGG19_2022-04-04_160910__it17500_e3.pt,line,0.8531,vggonly
VGG19_2022-04-04_160910__it17500_e3.pt,gaussian_noise,0.9703,vggonly
VGG19_2022-04-04_172253__it16250_e3.pt,spatter,0.9797,vggonly
VGG19_2022-04-04_172253__it16250_e3.pt,shot_noise,0.9842,vggonly
VGG19_2022-04-04_172253__it16250_e3.pt,pessimal_noise,0.8987,vggonly
VGG19_2022-04-04_172253__it16250_e3.pt,identity,0.9907,vggonly
VGG19_2022-04-04_172253__it16250_e3.pt,dotted_line,0.955,vggonly
VGG19_2022-04-04_172253__it16250_e3.pt,impulse_noise,0.9608,vggonly
VGG19_2022-04-04_172253__it16250_e3.pt,line,0.8352,vggonly
VGG19_2022-04-04_172253__it16250_e3.pt,gaussian_noise,0.9529,vggonly
VGG19_2022-04-04_164603__it18750_e3.pt,spatter,0.9775,vggonly
VGG19_2022-04-04_164603__it18750_e3.pt,shot_noise,0.9857,vggonly
VGG19_2022-04-04_164603__it18750_e3.pt,pessimal_noise,0.9028,vggonly
VGG19_2022-04-04_164603__it18750_e3.pt,identity,0.9928,vggonly
VGG19_2022-04-04_164603__it18750_e3.pt,dotted_line,0.9569,vggonly
VGG19_2022-04-04_164603__it18750_e3.pt,impulse_noise,0.953,vggonly
VGG19_2022-04-04_164603__it18750_e3.pt,line,0.8552,vggonly
VGG19_2022-04-04_164603__it18750_e3.pt,gaussian_noise,0.9588,vggonly
VGG19_2022-04-04_160910__it8750_e1.pt,line,0.8333,vggonly_es3
VGG19_2022-04-04_160910__it8750_e1.pt,elastic_transform,0.8533,vggonly_es3
VGG19_2022-04-04_160910__it8750_e1.pt,zigzag,0.8499,vggonly_es3
VGG19_2022-04-04_160910__it8750_e1.pt,motion_blur,0.9167,vggonly_es3
VGG19_2022-04-04_160910__it8750_e1.pt,gaussian_blur,0.9647,vggonly_es3
VGG19_2022-04-04_160910__it8750_e1.pt,pessimal_noise,0.8755,vggonly_es3
VGG19_2022-04-04_160910__it8750_e1.pt,impulse_noise,0.9175,vggonly_es3
VGG19_2022-04-04_160910__it8750_e1.pt,defocus_blur,0.9526,vggonly_es3
VGG19_2022-04-04_160910__it8750_e1.pt,spatter,0.9442,vggonly_es3
VGG19_2022-04-04_160910__it8750_e1.pt,dotted_line,0.9403,vggonly_es3
VGG19_2022-04-04_160910__it8750_e1.pt,gaussian_noise,0.9392,vggonly_es3
VGG19_2022-04-04_160910__it8750_e1.pt,pixelate,0.959,vggonly_es3
VGG19_2022-04-04_160910__it8750_e1.pt,zoom_blur,0.9691,vggonly_es3
VGG19_2022-04-04_160910__it8750_e1.pt,shot_noise,0.9595,vggonly_es3
VGG19_2022-04-04_160910__it8750_e1.pt,fog,0.9238,vggonly_es3
VGG19_2022-04-04_164603__it18750_e3.pt,line,0.8552,vggonly_es3
VGG19_2022-04-04_164603__it18750_e3.pt,elastic_transform,0.8948,vggonly_es3
VGG19_2022-04-04_164603__it18750_e3.pt,zigzag,0.9127,vggonly_es3
VGG19_2022-04-04_164603__it18750_e3.pt,motion_blur,0.9533,vggonly_es3
VGG19_2022-04-04_164603__it18750_e3.pt,gaussian_blur,0.9551,vggonly_es3
VGG19_2022-04-04_164603__it18750_e3.pt,pessimal_noise,0.9028,vggonly_es3
VGG19_2022-04-04_164603__it18750_e3.pt,impulse_noise,0.953,vggonly_es3
VGG19_2022-04-04_164603__it18750_e3.pt,defocus_blur,0.9631,vggonly_es3
VGG19_2022-04-04_164603__it18750_e3.pt,spatter,0.9775,vggonly_es3
VGG19_2022-04-04_164603__it18750_e3.pt,dotted_line,0.9569,vggonly_es3
VGG19_2022-04-04_164603__it18750_e3.pt,gaussian_noise,0.9588,vggonly_es3
VGG19_2022-04-04_164603__it18750_e3.pt,pixelate,0.9864,vggonly_es3
VGG19_2022-04-04_164603__it18750_e3.pt,zoom_blur,0.9848,vggonly_es3
VGG19_2022-04-04_164603__it18750_e3.pt,shot_noise,0.9857,vggonly_es3
VGG19_2022-04-04_164603__it18750_e3.pt,fog,0.989,vggonly_es3
VGG19_2022-04-04_172253__it11250_e2.pt,line,0.8599,vggonly_es3
VGG19_2022-04-04_172253__it11250_e2.pt,elastic_transform,0.8625,vggonly_es3
VGG19_2022-04-04_172253__it11250_e2.pt,zigzag,0.9043,vggonly_es3
VGG19_2022-04-04_172253__it11250_e2.pt,motion_blur,0.9569,vggonly_es3
VGG19_2022-04-04_172253__it11250_e2.pt,gaussian_blur,0.8965,vggonly_es3
VGG19_2022-04-04_172253__it11250_e2.pt,pessimal_noise,0.9327,vggonly_es3
VGG19_2022-04-04_172253__it11250_e2.pt,impulse_noise,0.9764,vggonly_es3
VGG19_2022-04-04_172253__it11250_e2.pt,defocus_blur,0.9396,vggonly_es3
VGG19_2022-04-04_172253__it11250_e2.pt,spatter,0.9806,vggonly_es3
VGG19_2022-04-04_172253__it11250_e2.pt,dotted_line,0.9698,vggonly_es3
VGG19_2022-04-04_172253__it11250_e2.pt,gaussian_noise,0.9729,vggonly_es3
VGG19_2022-04-04_172253__it11250_e2.pt,pixelate,0.9751,vggonly_es3
VGG19_2022-04-04_172253__it11250_e2.pt,zoom_blur,0.9796,vggonly_es3
VGG19_2022-04-04_172253__it11250_e2.pt,shot_noise,0.983,vggonly_es3
VGG19_2022-04-04_172253__it11250_e2.pt,fog,0.9123,vggonly_es3
VGG19_2022-04-04_175945__it12500_e2.pt,line,0.8567,vggonly_es3
VGG19_2022-04-04_175945__it12500_e2.pt,elastic_transform,0.8736,vggonly_es3
VGG19_2022-04-04_175945__it12500_e2.pt,zigzag,0.8908,vggonly_es3
VGG19_2022-04-04_175945__it12500_e2.pt,motion_blur,0.9326,vggonly_es3
VGG19_2022-04-04_175945__it12500_e2.pt,gaussian_blur,0.9217,vggonly_es3
VGG19_2022-04-04_175945__it12500_e2.pt,pessimal_noise,0.9228,vggonly_es3
VGG19_2022-04-04_175945__it12500_e2.pt,impulse_noise,0.9405,vggonly_es3
VGG19_2022-04-04_175945__it12500_e2.pt,defocus_blur,0.9337,vggonly_es3
VGG19_2022-04-04_175945__it12500_e2.pt,spatter,0.9645,vggonly_es3
VGG19_2022-04-04_175945__it12500_e2.pt,dotted_line,0.9513,vggonly_es3
VGG19_2022-04-04_175945__it12500_e2.pt,gaussian_noise,0.9588,vggonly_es3
VGG19_2022-04-04_175945__it12500_e2.pt,pixelate,0.9707,vggonly_es3
VGG19_2022-04-04_175945__it12500_e2.pt,zoom_blur,0.9757,vggonly_es3
VGG19_2022-04-04_175945__it12500_e2.pt,shot_noise,0.9808,vggonly_es3
VGG19_2022-04-04_175945__it12500_e2.pt,fog,0.9843,vggonly_es3
VGG19_2022-04-04_183636__it16250_e3.pt,line,0.8683,vggonly_es3
VGG19_2022-04-04_183636__it16250_e3.pt,elastic_transform,0.8963,vggonly_es3
VGG19_2022-04-04_183636__it16250_e3.pt,zigzag,0.9063,vggonly_es3
VGG19_2022-04-04_183636__it16250_e3.pt,motion_blur,0.9569,vggonly_es3
VGG19_2022-04-04_183636__it16250_e3.pt,gaussian_blur,0.9306,vggonly_es3
VGG19_2022-04-04_183636__it16250_e3.pt,pessimal_noise,0.944,vggonly_es3
VGG19_2022-04-04_183636__it16250_e3.pt,impulse_noise,0.9602,vggonly_es3
VGG19_2022-04-04_183636__it16250_e3.pt,defocus_blur,0.9515,vggonly_es3
VGG19_2022-04-04_183636__it16250_e3.pt,spatter,0.9667,vggonly_es3
VGG19_2022-04-04_183636__it16250_e3.pt,dotted_line,0.968,vggonly_es3
VGG19_2022-04-04_183636__it16250_e3.pt,gaussian_noise,0.9726,vggonly_es3
VGG19_2022-04-04_183636__it16250_e3.pt,pixelate,0.9676,vggonly_es3
VGG19_2022-04-04_183636__it16250_e3.pt,zoom_blur,0.9795,vggonly_es3
VGG19_2022-04-04_183636__it16250_e3.pt,shot_noise,0.978,vggonly_es3
VGG19_2022-04-04_183636__it16250_e3.pt,fog,0.9871,vggonly_es3
VGG19_2022-04-04_191333__it10000_e2.pt,line,0.8044,vggonly_es3
VGG19_2022-04-04_191333__it10000_e2.pt,elastic_transform,0.8683,vggonly_es3
VGG19_2022-04-04_191333__it10000_e2.pt,zigzag,0.8402,vggonly_es3
VGG19_2022-04-04_191333__it10000_e2.pt,motion_blur,0.9495,vggonly_es3
VGG19_2022-04-04_191333__it10000_e2.pt,gaussian_blur,0.9352,vggonly_es3
VGG19_2022-04-04_191333__it10000_e2.pt,pessimal_noise,0.8685,vggonly_es3
VGG19_2022-04-04_191333__it10000_e2.pt,impulse_noise,0.959,vggonly_es3
VGG19_2022-04-04_191333__it10000_e2.pt,defocus_blur,0.929,vggonly_es3
VGG19_2022-04-04_191333__it10000_e2.pt,spatter,0.9757,vggonly_es3
VGG19_2022-04-04_191333__it10000_e2.pt,dotted_line,0.9368,vggonly_es3
VGG19_2022-04-04_191333__it10000_e2.pt,gaussian_noise,0.9495,vggonly_es3
VGG19_2022-04-04_191333__it10000_e2.pt,pixelate,0.9688,vggonly_es3
VGG19_2022-04-04_191333__it10000_e2.pt,zoom_blur,0.9752,vggonly_es3
VGG19_2022-04-04_191333__it10000_e2.pt,shot_noise,0.9808,vggonly_es3
VGG19_2022-04-04_191333__it10000_e2.pt,fog,0.8651,vggonly_es3
VGG19_2022-04-04_191333__it10000_e2.pt,identity,0.9893,vggonly_es3
VGG19_2022-04-04_183636__it16250_e3.pt,identity,0.9919,vggonly_es3
VGG19_2022-04-04_160910__it8750_e1.pt,identity,0.9771,vggonly_es3
VGG19_2022-04-04_164603__it18750_e3.pt,identity,0.9928,vggonly_es3
VGG19_2022-04-04_172253__it11250_e2.pt,identity,0.9883,vggonly_es3
VGG19_2022-04-04_175945__it12500_e2.pt,identity,0.9897,vggonly_es3
2022-04-23_201656_LCL5_d2__it15000_e3.pt,spatter,0.9703,vgg19r_lcl5_lr1e4
2022-04-23_201656_LCL5_d2__it15000_e3.pt,shot_noise,0.9825,vgg19r_lcl5_lr1e4
2022-04-23_201656_LCL5_d2__it15000_e3.pt,pessimal_noise,0.9618,vgg19r_lcl5_lr1e4
2022-04-23_201656_LCL5_d2__it15000_e3.pt,identity,0.9927,vgg19r_lcl5_lr1e4
2022-04-23_201656_LCL5_d2__it15000_e3.pt,dotted_line,0.9758,vgg19r_lcl5_lr1e4
2022-04-23_201656_LCL5_d2__it15000_e3.pt,impulse_noise,0.9665,vgg19r_lcl5_lr1e4
2022-04-23_201656_LCL5_d2__it15000_e3.pt,line,0.8977,vgg19r_lcl5_lr1e4
2022-04-23_201656_LCL5_d2__it15000_e3.pt,gaussian_noise,0.9748,vgg19r_lcl5_lr1e4
2022-04-23_201747_LCL5_d2__it23750_e4.pt,spatter,0.9694,vgg19r_lcl5_lr1e4
2022-04-23_201747_LCL5_d2__it23750_e4.pt,shot_noise,0.9842,vgg19r_lcl5_lr1e4
2022-04-23_201747_LCL5_d2__it23750_e4.pt,pessimal_noise,0.9696,vgg19r_lcl5_lr1e4
2022-04-23_201747_LCL5_d2__it23750_e4.pt,identity,0.9921,vgg19r_lcl5_lr1e4
2022-04-23_201747_LCL5_d2__it23750_e4.pt,dotted_line,0.9785,vgg19r_lcl5_lr1e4
