model,mnist_c_variant,accuracy,model_type
2022-06-27_200017,pixelate,0.9041,TinyLateralNet
2022-06-27_200017,dotted_line,0.7054,TinyLateralNet
2022-06-27_200017,gaussian_blur,0.8734,TinyLateralNet
2022-06-27_200017,elastic_transform,0.6274,TinyLateralNet
2022-06-27_200017,jpeg_compression,0.8909,TinyLateralNet
2022-06-27_200017,speckle_noise,0.9147,TinyLateralNet
2022-06-27_200017,identity,0.9216,TinyLateralNet
2022-06-27_200017,glass_blur,0.8391,TinyLateralNet
2022-06-27_200017,spatter,0.8717,TinyLateralNet
2022-06-27_200017,translate,0.2702,TinyLateralNet
2022-06-27_200017,fog,0.5155,TinyLateralNet
2022-06-27_200017,shear,0.8479,TinyLateralNet
2022-06-27_200017,scale,0.4442,TinyLateralNet
2022-06-27_200017,zigzag,0.4843,TinyLateralNet
2022-06-27_200017,defocus_blur,0.8626,TinyLateralNet
2022-06-27_200017,gaussian_noise,0.5087,TinyLateralNet
2022-06-27_200017,contrast,0.2247,TinyLateralNet
2022-06-27_200017,canny_edges,0.5983,TinyLateralNet
2022-06-27_200017,zoom_blur,0.8631,TinyLateralNet
2022-06-27_200017,line,0.5857,TinyLateralNet
2022-06-27_200017,pessimal_noise,0.7161,TinyLateralNet
2022-06-27_200017,rotate,0.7222,TinyLateralNet
2022-06-27_200017,brightness,0.5625,TinyLateralNet
2022-06-27_200017,shot_noise,0.9074,TinyLateralNet
2022-06-27_200017,saturate,0.8349,TinyLateralNet
2022-06-27_200017,motion_blur,0.757,TinyLateralNet
2022-06-27_200017,snow,0.6223,TinyLateralNet
2022-06-27_200017,inverse,0.0119,TinyLateralNet
2022-06-27_200017,impulse_noise,0.4173,TinyLateralNet
2022-06-27_200017,stripe,0.3071,TinyLateralNet
2022-06-27_200017,quantize,0.915,TinyLateralNet
2022-06-27_200017,frost,0.5054,TinyLateralNet
