model,mnist_c_variant,accuracy,model_type
2022-06-27_193357,pixelate,0.932,TinyCNN_Finetuned
2022-06-27_193357,dotted_line,0.7695,TinyCNN_Finetuned
2022-06-27_193357,gaussian_blur,0.8585,TinyCNN_Finetuned
2022-06-27_193357,elastic_transform,0.6965,TinyCNN_Finetuned
2022-06-27_193357,jpeg_compression,0.9507,TinyCNN_Finetuned
2022-06-27_193357,speckle_noise,0.8979,TinyCNN_Finetuned
2022-06-27_193357,identity,0.9547,TinyCNN_Finetuned
2022-06-27_193357,glass_blur,0.8364,TinyCNN_Finetuned
2022-06-27_193357,spatter,0.9201,TinyCNN_Finetuned
2022-06-27_193357,translate,0.3058,TinyCNN_Finetuned
2022-06-27_193357,fog,0.4365,TinyCNN_Finetuned
2022-06-27_193357,shear,0.9006,TinyCNN_Finetuned
2022-06-27_193357,scale,0.5284,TinyCNN_Finetuned
2022-06-27_193357,zigzag,0.6001,TinyCNN_Finetuned
2022-06-27_193357,defocus_blur,0.7977,TinyCNN_Finetuned
2022-06-27_193357,gaussian_noise,0.2117,TinyCNN_Finetuned
2022-06-27_193357,contrast,0.2199,TinyCNN_Finetuned
2022-06-27_193357,canny_edges,0.4142,TinyCNN_Finetuned
2022-06-27_193357,zoom_blur,0.8973,TinyCNN_Finetuned
2022-06-27_193357,line,0.677,TinyCNN_Finetuned
2022-06-27_193357,pessimal_noise,0.76,TinyCNN_Finetuned
2022-06-27_193357,rotate,0.814,TinyCNN_Finetuned
2022-06-27_193357,brightness,0.2821,TinyCNN_Finetuned
2022-06-27_193357,shot_noise,0.8858,TinyCNN_Finetuned
2022-06-27_193357,saturate,0.6697,TinyCNN_Finetuned
2022-06-27_193357,motion_blur,0.873,TinyCNN_Finetuned
2022-06-27_193357,snow,0.4318,TinyCNN_Finetuned
2022-06-27_193357,inverse,0.0722,TinyCNN_Finetuned
2022-06-27_193357,impulse_noise,0.2172,TinyCNN_Finetuned
2022-06-27_193357,stripe,0.6113,TinyCNN_Finetuned
2022-06-27_193357,quantize,0.9277,TinyCNN_Finetuned
2022-06-27_193357,frost,0.3063,TinyCNN_Finetuned
