model,mnist_c_variant,accuracy,model_type
2022-06-27_000816,pixelate,0.9335,TinyCNN_Finetuned
2022-06-27_000816,dotted_line,0.795,TinyCNN_Finetuned
2022-06-27_000816,gaussian_blur,0.8671,TinyCNN_Finetuned
2022-06-27_000816,elastic_transform,0.691,TinyCNN_Finetuned
2022-06-27_000816,jpeg_compression,0.9617,TinyCNN_Finetuned
2022-06-27_000816,speckle_noise,0.9338,TinyCNN_Finetuned
2022-06-27_000816,identity,0.964,TinyCNN_Finetuned
2022-06-27_000816,glass_blur,0.8928,TinyCNN_Finetuned
2022-06-27_000816,spatter,0.9423,TinyCNN_Finetuned
2022-06-27_000816,translate,0.3186,TinyCNN_Finetuned
2022-06-27_000816,fog,0.4216,TinyCNN_Finetuned
2022-06-27_000816,shear,0.9082,TinyCNN_Finetuned
2022-06-27_000816,scale,0.5323,TinyCNN_Finetuned
2022-06-27_000816,zigzag,0.6244,TinyCNN_Finetuned
2022-06-27_000816,defocus_blur,0.7786,TinyCNN_Finetuned
2022-06-27_000816,gaussian_noise,0.2351,TinyCNN_Finetuned
2022-06-27_000816,contrast,0.2171,TinyCNN_Finetuned
2022-06-27_000816,canny_edges,0.4916,TinyCNN_Finetuned
2022-06-27_000816,zoom_blur,0.9021,TinyCNN_Finetuned
2022-06-27_000816,line,0.7099,TinyCNN_Finetuned
2022-06-27_000816,pessimal_noise,0.8295,TinyCNN_Finetuned
2022-06-27_000816,rotate,0.822,TinyCNN_Finetuned
2022-06-27_000816,brightness,0.3193,TinyCNN_Finetuned
2022-06-27_000816,shot_noise,0.9203,TinyCNN_Finetuned
2022-06-27_000816,saturate,0.707,TinyCNN_Finetuned
2022-06-27_000816,motion_blur,0.8224,TinyCNN_Finetuned
2022-06-27_000816,snow,0.464,TinyCNN_Finetuned
2022-06-27_000816,inverse,0.0956,TinyCNN_Finetuned
2022-06-27_000816,impulse_noise,0.2331,TinyCNN_Finetuned
2022-06-27_000816,stripe,0.5361,TinyCNN_Finetuned
2022-06-27_000816,quantize,0.9542,TinyCNN_Finetuned
2022-06-27_000816,frost,0.3286,TinyCNN_Finetuned
