model,mnist_c_variant,accuracy,model_type
2022-06-27_193535,pixelate,0.8903,TinyLateralNet
2022-06-27_193535,dotted_line,0.6838,TinyLateralNet
2022-06-27_193535,gaussian_blur,0.8828,TinyLateralNet
2022-06-27_193535,elastic_transform,0.6544,TinyLateralNet
2022-06-27_193535,jpeg_compression,0.8637,TinyLateralNet
2022-06-27_193535,speckle_noise,0.8957,TinyLateralNet
2022-06-27_193535,identity,0.9076,TinyLateralNet
2022-06-27_193535,glass_blur,0.7976,TinyLateralNet
2022-06-27_193535,spatter,0.8534,TinyLateralNet
2022-06-27_193535,translate,0.3219,TinyLateralNet
2022-06-27_193535,fog,0.5177,TinyLateralNet
2022-06-27_193535,shear,0.8346,TinyLateralNet
2022-06-27_193535,scale,0.4582,TinyLateralNet
2022-06-27_193535,zigzag,0.4679,TinyLateralNet
2022-06-27_193535,defocus_blur,0.8736,TinyLateralNet
2022-06-27_193535,gaussian_noise,0.4427,TinyLateralNet
2022-06-27_193535,contrast,0.1597,TinyLateralNet
2022-06-27_193535,canny_edges,0.5311,TinyLateralNet
2022-06-27_193535,zoom_blur,0.857,TinyLateralNet
2022-06-27_193535,line,0.57,TinyLateralNet
2022-06-27_193535,pessimal_noise,0.6967,TinyLateralNet
2022-06-27_193535,rotate,0.7312,TinyLateralNet
2022-06-27_193535,brightness,0.5685,TinyLateralNet
2022-06-27_193535,shot_noise,0.8881,TinyLateralNet
2022-06-27_193535,saturate,0.8081,TinyLateralNet
2022-06-27_193535,motion_blur,0.8101,TinyLateralNet
2022-06-27_193535,snow,0.5981,TinyLateralNet
2022-06-27_193535,inverse,0.0741,TinyLateralNet
2022-06-27_193535,impulse_noise,0.3778,TinyLateralNet
2022-06-27_193535,stripe,0.2818,TinyLateralNet
2022-06-27_193535,quantize,0.8994,TinyLateralNet
2022-06-27_193535,frost,0.5151,TinyLateralNet
