model,mnist_c_variant,accuracy,model_type
2022-06-15_215423,pixelate,0.9086,TinyCNN
2022-06-15_215423,dotted_line,0.8462,TinyCNN
2022-06-15_215423,gaussian_blur,0.7792,TinyCNN
2022-06-15_215423,elastic_transform,0.6818,TinyCNN
2022-06-15_215423,jpeg_compression,0.9682,TinyCNN
2022-06-15_215423,speckle_noise,0.9409,TinyCNN
2022-06-15_215423,identity,0.9706,TinyCNN
2022-06-15_215423,glass_blur,0.9116,TinyCNN
2022-06-15_215423,spatter,0.9512,TinyCNN
2022-06-15_215423,translate,0.2871,TinyCNN
2022-06-15_215423,fog,0.4306,TinyCNN
2022-06-15_215423,shear,0.9121,TinyCNN
2022-06-15_215423,scale,0.5687,TinyCNN
2022-06-15_215423,zigzag,0.6388,TinyCNN
2022-06-15_215423,defocus_blur,0.6123,TinyCNN
2022-06-15_215423,gaussian_noise,0.2713,TinyCNN
2022-06-15_215423,contrast,0.1137,TinyCNN
2022-06-15_215423,canny_edges,0.5067,TinyCNN
2022-06-15_215423,zoom_blur,0.9034,TinyCNN
2022-06-15_215423,line,0.7492,TinyCNN
2022-06-15_215423,pessimal_noise,0.8117,TinyCNN
2022-06-15_215423,rotate,0.8262,TinyCNN
2022-06-15_215423,brightness,0.243,TinyCNN
2022-06-15_215423,shot_noise,0.9353,TinyCNN
2022-06-15_215423,saturate,0.8164,TinyCNN
2022-06-15_215423,motion_blur,0.738,TinyCNN
2022-06-15_215423,snow,0.4657,TinyCNN
2022-06-15_215423,inverse,0.0957,TinyCNN
2022-06-15_215423,impulse_noise,0.2672,TinyCNN
2022-06-15_215423,stripe,0.4235,TinyCNN
2022-06-15_215423,quantize,0.9635,TinyCNN
2022-06-15_215423,frost,0.2746,TinyCNN
