model,mnist_c_variant,accuracy,model_type
2022-06-26_222836,pixelate,0.8925,TinyLateralNet
2022-06-26_222836,dotted_line,0.6728,TinyLateralNet
2022-06-26_222836,gaussian_blur,0.8825,TinyLateralNet
2022-06-26_222836,elastic_transform,0.6145,TinyLateralNet
2022-06-26_222836,jpeg_compression,0.8602,TinyLateralNet
2022-06-26_222836,speckle_noise,0.8926,TinyLateralNet
2022-06-26_222836,identity,0.9048,TinyLateralNet
2022-06-26_222836,glass_blur,0.8003,TinyLateralNet
2022-06-26_222836,spatter,0.8479,TinyLateralNet
2022-06-26_222836,translate,0.26,TinyLateralNet
2022-06-26_222836,fog,0.498,TinyLateralNet
2022-06-26_222836,shear,0.8303,TinyLateralNet
2022-06-26_222836,scale,0.4558,TinyLateralNet
2022-06-26_222836,zigzag,0.4525,TinyLateralNet
2022-06-26_222836,defocus_blur,0.8761,TinyLateralNet
2022-06-26_222836,gaussian_noise,0.4344,TinyLateralNet
2022-06-26_222836,contrast,0.1812,TinyLateralNet
2022-06-26_222836,canny_edges,0.5444,TinyLateralNet
2022-06-26_222836,zoom_blur,0.8472,TinyLateralNet
2022-06-26_222836,line,0.5567,TinyLateralNet
2022-06-26_222836,pessimal_noise,0.6831,TinyLateralNet
2022-06-26_222836,rotate,0.716,TinyLateralNet
2022-06-26_222836,brightness,0.6446,TinyLateralNet
2022-06-26_222836,shot_noise,0.8866,TinyLateralNet
2022-06-26_222836,saturate,0.8364,TinyLateralNet
2022-06-26_222836,motion_blur,0.7487,TinyLateralNet
2022-06-26_222836,snow,0.6376,TinyLateralNet
2022-06-26_222836,inverse,0.1126,TinyLateralNet
2022-06-26_222836,impulse_noise,0.3707,TinyLateralNet
2022-06-26_222836,stripe,0.315,TinyLateralNet
2022-06-26_222836,quantize,0.8973,TinyLateralNet
2022-06-26_222836,frost,0.496,TinyLateralNet
