model,mnist_c_variant,accuracy,model_type
2022-06-27_193500,pixelate,0.8892,TinyLateralNet_OutputAdjusted
2022-06-27_193500,dotted_line,0.694,TinyLateralNet_OutputAdjusted
2022-06-27_193500,gaussian_blur,0.864,TinyLateralNet_OutputAdjusted
2022-06-27_193500,elastic_transform,0.6219,TinyLateralNet_OutputAdjusted
2022-06-27_193500,jpeg_compression,0.8783,TinyLateralNet_OutputAdjusted
2022-06-27_193500,speckle_noise,0.9129,TinyLateralNet_OutputAdjusted
2022-06-27_193500,identity,0.9221,TinyLateralNet_OutputAdjusted
2022-06-27_193500,glass_blur,0.8121,TinyLateralNet_OutputAdjusted
2022-06-27_193500,spatter,0.8647,TinyLateralNet_OutputAdjusted
2022-06-27_193500,translate,0.2827,TinyLateralNet_OutputAdjusted
2022-06-27_193500,fog,0.4816,TinyLateralNet_OutputAdjusted
2022-06-27_193500,shear,0.8503,TinyLateralNet_OutputAdjusted
2022-06-27_193500,scale,0.4123,TinyLateralNet_OutputAdjusted
2022-06-27_193500,zigzag,0.4758,TinyLateralNet_OutputAdjusted
2022-06-27_193500,defocus_blur,0.8404,TinyLateralNet_OutputAdjusted
2022-06-27_193500,gaussian_noise,0.532,TinyLateralNet_OutputAdjusted
2022-06-27_193500,contrast,0.1994,TinyLateralNet_OutputAdjusted
2022-06-27_193500,canny_edges,0.5867,TinyLateralNet_OutputAdjusted
2022-06-27_193500,zoom_blur,0.8341,TinyLateralNet_OutputAdjusted
2022-06-27_193500,line,0.5869,TinyLateralNet_OutputAdjusted
2022-06-27_193500,pessimal_noise,0.6964,TinyLateralNet_OutputAdjusted
2022-06-27_193500,rotate,0.735,TinyLateralNet_OutputAdjusted
2022-06-27_193500,brightness,0.4769,TinyLateralNet_OutputAdjusted
2022-06-27_193500,shot_noise,0.9052,TinyLateralNet_OutputAdjusted
2022-06-27_193500,saturate,0.8355,TinyLateralNet_OutputAdjusted
2022-06-27_193500,motion_blur,0.7759,TinyLateralNet_OutputAdjusted
2022-06-27_193500,snow,0.6248,TinyLateralNet_OutputAdjusted
2022-06-27_193500,inverse,0.0342,TinyLateralNet_OutputAdjusted
2022-06-27_193500,impulse_noise,0.434,TinyLateralNet_OutputAdjusted
2022-06-27_193500,stripe,0.3196,TinyLateralNet_OutputAdjusted
2022-06-27_193500,quantize,0.9158,TinyLateralNet_OutputAdjusted
2022-06-27_193500,frost,0.4584,TinyLateralNet_OutputAdjusted
