model,mnist_c_variant,accuracy,model_type
2022-06-27_193412,pixelate,0.8837,TinyLateralNet_OutputAdjusted
2022-06-27_193412,dotted_line,0.6977,TinyLateralNet_OutputAdjusted
2022-06-27_193412,gaussian_blur,0.8746,TinyLateralNet_OutputAdjusted
2022-06-27_193412,elastic_transform,0.6198,TinyLateralNet_OutputAdjusted
2022-06-27_193412,jpeg_compression,0.8636,TinyLateralNet_OutputAdjusted
2022-06-27_193412,speckle_noise,0.8986,TinyLateralNet_OutputAdjusted
2022-06-27_193412,identity,0.9059,TinyLateralNet_OutputAdjusted
2022-06-27_193412,glass_blur,0.8067,TinyLateralNet_OutputAdjusted
2022-06-27_193412,spatter,0.8576,TinyLateralNet_OutputAdjusted
2022-06-27_193412,translate,0.2599,TinyLateralNet_OutputAdjusted
2022-06-27_193412,fog,0.4776,TinyLateralNet_OutputAdjusted
2022-06-27_193412,shear,0.8367,TinyLateralNet_OutputAdjusted
2022-06-27_193412,scale,0.486,TinyLateralNet_OutputAdjusted
2022-06-27_193412,zigzag,0.4904,TinyLateralNet_OutputAdjusted
2022-06-27_193412,defocus_blur,0.8622,TinyLateralNet_OutputAdjusted
2022-06-27_193412,gaussian_noise,0.5138,TinyLateralNet_OutputAdjusted
2022-06-27_193412,contrast,0.0941,TinyLateralNet_OutputAdjusted
2022-06-27_193412,canny_edges,0.562,TinyLateralNet_OutputAdjusted
2022-06-27_193412,zoom_blur,0.8389,TinyLateralNet_OutputAdjusted
2022-06-27_193412,line,0.5862,TinyLateralNet_OutputAdjusted
2022-06-27_193412,pessimal_noise,0.6889,TinyLateralNet_OutputAdjusted
2022-06-27_193412,rotate,0.7068,TinyLateralNet_OutputAdjusted
2022-06-27_193412,brightness,0.4659,TinyLateralNet_OutputAdjusted
2022-06-27_193412,shot_noise,0.8949,TinyLateralNet_OutputAdjusted
2022-06-27_193412,saturate,0.82,TinyLateralNet_OutputAdjusted
2022-06-27_193412,motion_blur,0.738,TinyLateralNet_OutputAdjusted
2022-06-27_193412,snow,0.6097,TinyLateralNet_OutputAdjusted
2022-06-27_193412,inverse,0.0664,TinyLateralNet_OutputAdjusted
2022-06-27_193412,impulse_noise,0.4328,TinyLateralNet_OutputAdjusted
2022-06-27_193412,stripe,0.4101,TinyLateralNet_OutputAdjusted
2022-06-27_193412,quantize,0.8997,TinyLateralNet_OutputAdjusted
2022-06-27_193412,frost,0.4222,TinyLateralNet_OutputAdjusted
