model,mnist_c_variant,accuracy,model_type
2022-07-04_214028,identity,0.9756,TinyLateralNet__PreTrained
2022-07-04_214028,pixelate,0.9235,TinyLateralNet__PreTrained
2022-07-04_214028,dotted_line,0.7003,TinyLateralNet__PreTrained
2022-07-04_214028,gaussian_blur,0.4747,TinyLateralNet__PreTrained
2022-07-04_214028,elastic_transform,0.7238,TinyLateralNet__PreTrained
2022-07-04_214028,jpeg_compression,0.9472,TinyLateralNet__PreTrained
2022-07-04_214028,speckle_noise,0.7648,TinyLateralNet__PreTrained
2022-07-04_214028,glass_blur,0.8142,TinyLateralNet__PreTrained
2022-07-04_214028,spatter,0.8055,TinyLateralNet__PreTrained
2022-07-04_214028,translate,0.3914,TinyLateralNet__PreTrained
2022-07-04_214028,fog,0.3045,TinyLateralNet__PreTrained
2022-07-04_214028,shear,0.9257,TinyLateralNet__PreTrained
2022-07-04_214028,scale,0.7287,TinyLateralNet__PreTrained
2022-07-04_214028,zigzag,0.5509,TinyLateralNet__PreTrained
2022-07-04_214028,defocus_blur,0.3424,TinyLateralNet__PreTrained
2022-07-04_214028,gaussian_noise,0.0986,TinyLateralNet__PreTrained
2022-07-04_214028,contrast,0.1151,TinyLateralNet__PreTrained
2022-07-04_214028,canny_edges,0.3279,TinyLateralNet__PreTrained
2022-07-04_214028,zoom_blur,0.8658,TinyLateralNet__PreTrained
2022-07-04_214028,line,0.6347,TinyLateralNet__PreTrained
2022-07-04_214028,pessimal_noise,0.716,TinyLateralNet__PreTrained
2022-07-04_214028,rotate,0.8504,TinyLateralNet__PreTrained
2022-07-04_214028,brightness,0.0856,TinyLateralNet__PreTrained
2022-07-04_214028,shot_noise,0.6921,TinyLateralNet__PreTrained
2022-07-04_214028,saturate,0.4161,TinyLateralNet__PreTrained
2022-07-04_214028,motion_blur,0.7263,TinyLateralNet__PreTrained
2022-07-04_214028,snow,0.0818,TinyLateralNet__PreTrained
2022-07-04_214028,inverse,0.17,TinyLateralNet__PreTrained
2022-07-04_214028,impulse_noise,0.1253,TinyLateralNet__PreTrained
2022-07-04_214028,stripe,0.0298,TinyLateralNet__PreTrained
2022-07-04_214028,quantize,0.856,TinyLateralNet__PreTrained
2022-07-04_214028,frost,0.04,TinyLateralNet__PreTrained
