model,mnist_c_variant,accuracy,model_type
2022-07-01_125013,identity,0.9837,TinyCNN_FullyTrained
2022-07-01_125013,pixelate,0.9457,TinyCNN_FullyTrained
2022-07-01_125013,dotted_line,0.8954,TinyCNN_FullyTrained
2022-07-01_125013,gaussian_blur,0.6028,TinyCNN_FullyTrained
2022-07-01_125013,elastic_transform,0.7548,TinyCNN_FullyTrained
2022-07-01_125013,jpeg_compression,0.9769,TinyCNN_FullyTrained
2022-07-01_125013,speckle_noise,0.9266,TinyCNN_FullyTrained
2022-07-01_125013,glass_blur,0.8051,TinyCNN_FullyTrained
2022-07-01_125013,spatter,0.9635,TinyCNN_FullyTrained
2022-07-01_125013,translate,0.4011,TinyCNN_FullyTrained
2022-07-01_125013,fog,0.3286,TinyCNN_FullyTrained
2022-07-01_125013,shear,0.9427,TinyCNN_FullyTrained
2022-07-01_125013,scale,0.7056,TinyCNN_FullyTrained
2022-07-01_125013,zigzag,0.724,TinyCNN_FullyTrained
2022-07-01_125013,defocus_blur,0.5643,TinyCNN_FullyTrained
2022-07-01_125013,gaussian_noise,0.2771,TinyCNN_FullyTrained
2022-07-01_125013,contrast,0.1798,TinyCNN_FullyTrained
2022-07-01_125013,canny_edges,0.4886,TinyCNN_FullyTrained
2022-07-01_125013,zoom_blur,0.941,TinyCNN_FullyTrained
2022-07-01_125013,line,0.825,TinyCNN_FullyTrained
2022-07-01_125013,pessimal_noise,0.8913,TinyCNN_FullyTrained
2022-07-01_125013,rotate,0.8672,TinyCNN_FullyTrained
2022-07-01_125013,brightness,0.311,TinyCNN_FullyTrained
2022-07-01_125013,shot_noise,0.9065,TinyCNN_FullyTrained
2022-07-01_125013,saturate,0.7617,TinyCNN_FullyTrained
2022-07-01_125013,motion_blur,0.8415,TinyCNN_FullyTrained
2022-07-01_125013,snow,0.4675,TinyCNN_FullyTrained
2022-07-01_125013,inverse,0.0416,TinyCNN_FullyTrained
2022-07-01_125013,impulse_noise,0.4145,TinyCNN_FullyTrained
2022-07-01_125013,stripe,0.4465,TinyCNN_FullyTrained
2022-07-01_125013,quantize,0.9703,TinyCNN_FullyTrained
2022-07-01_125013,frost,0.3373,TinyCNN_FullyTrained
