model,mnist_c_variant,accuracy,model_type
2022-07-04_224350,identity,0.9743,TinyLateralNet__PreTrained
2022-07-04_224350,pixelate,0.9118,TinyLateralNet__PreTrained
2022-07-04_224350,dotted_line,0.6894,TinyLateralNet__PreTrained
2022-07-04_224350,gaussian_blur,0.4683,TinyLateralNet__PreTrained
2022-07-04_224350,elastic_transform,0.696,TinyLateralNet__PreTrained
2022-07-04_224350,jpeg_compression,0.9459,TinyLateralNet__PreTrained
2022-07-04_224350,speckle_noise,0.7808,TinyLateralNet__PreTrained
2022-07-04_224350,glass_blur,0.82,TinyLateralNet__PreTrained
2022-07-04_224350,spatter,0.7951,TinyLateralNet__PreTrained
2022-07-04_224350,translate,0.3691,TinyLateralNet__PreTrained
2022-07-04_224350,fog,0.2335,TinyLateralNet__PreTrained
2022-07-04_224350,shear,0.9137,TinyLateralNet__PreTrained
2022-07-04_224350,scale,0.6106,TinyLateralNet__PreTrained
2022-07-04_224350,zigzag,0.54,TinyLateralNet__PreTrained
2022-07-04_224350,defocus_blur,0.3109,TinyLateralNet__PreTrained
2022-07-04_224350,gaussian_noise,0.1005,TinyLateralNet__PreTrained
2022-07-04_224350,contrast,0.1165,TinyLateralNet__PreTrained
2022-07-04_224350,canny_edges,0.358,TinyLateralNet__PreTrained
2022-07-04_224350,zoom_blur,0.8243,TinyLateralNet__PreTrained
2022-07-04_224350,line,0.6271,TinyLateralNet__PreTrained
2022-07-04_224350,pessimal_noise,0.7102,TinyLateralNet__PreTrained
2022-07-04_224350,rotate,0.8365,TinyLateralNet__PreTrained
2022-07-04_224350,brightness,0.1147,TinyLateralNet__PreTrained
2022-07-04_224350,shot_noise,0.7241,TinyLateralNet__PreTrained
2022-07-04_224350,saturate,0.426,TinyLateralNet__PreTrained
2022-07-04_224350,motion_blur,0.6641,TinyLateralNet__PreTrained
2022-07-04_224350,snow,0.0624,TinyLateralNet__PreTrained
2022-07-04_224350,inverse,0.1174,TinyLateralNet__PreTrained
2022-07-04_224350,impulse_noise,0.1243,TinyLateralNet__PreTrained
2022-07-04_224350,stripe,0.0136,TinyLateralNet__PreTrained
2022-07-04_224350,quantize,0.8649,TinyLateralNet__PreTrained
2022-07-04_224350,frost,0.0251,TinyLateralNet__PreTrained
