model,mnist_c_variant,accuracy,model_type
2022-07-01_140924,identity,0.965,TinyLateralNet__FullyTrained
2022-07-01_140924,pixelate,0.949,TinyLateralNet__FullyTrained
2022-07-01_140924,dotted_line,0.8404,TinyLateralNet__FullyTrained
2022-07-01_140924,gaussian_blur,0.9092,TinyLateralNet__FullyTrained
2022-07-01_140924,elastic_transform,0.6719,TinyLateralNet__FullyTrained
2022-07-01_140924,jpeg_compression,0.9621,TinyLateralNet__FullyTrained
2022-07-01_140924,speckle_noise,0.9602,TinyLateralNet__FullyTrained
2022-07-01_140924,glass_blur,0.9184,TinyLateralNet__FullyTrained
2022-07-01_140924,spatter,0.9382,TinyLateralNet__FullyTrained
2022-07-01_140924,translate,0.255,TinyLateralNet__FullyTrained
2022-07-01_140924,fog,0.5751,TinyLateralNet__FullyTrained
2022-07-01_140924,shear,0.8943,TinyLateralNet__FullyTrained
2022-07-01_140924,scale,0.597,TinyLateralNet__FullyTrained
2022-07-01_140924,zigzag,0.5554,TinyLateralNet__FullyTrained
2022-07-01_140924,defocus_blur,0.8468,TinyLateralNet__FullyTrained
2022-07-01_140924,gaussian_noise,0.7657,TinyLateralNet__FullyTrained
2022-07-01_140924,contrast,0.1385,TinyLateralNet__FullyTrained
2022-07-01_140924,canny_edges,0.6935,TinyLateralNet__FullyTrained
2022-07-01_140924,zoom_blur,0.8893,TinyLateralNet__FullyTrained
2022-07-01_140924,line,0.7636,TinyLateralNet__FullyTrained
2022-07-01_140924,pessimal_noise,0.7536,TinyLateralNet__FullyTrained
2022-07-01_140924,rotate,0.8161,TinyLateralNet__FullyTrained
2022-07-01_140924,brightness,0.6275,TinyLateralNet__FullyTrained
2022-07-01_140924,shot_noise,0.9596,TinyLateralNet__FullyTrained
2022-07-01_140924,saturate,0.9148,TinyLateralNet__FullyTrained
2022-07-01_140924,motion_blur,0.7775,TinyLateralNet__FullyTrained
2022-07-01_140924,snow,0.7835,TinyLateralNet__FullyTrained
2022-07-01_140924,inverse,0.0992,TinyLateralNet__FullyTrained
2022-07-01_140924,impulse_noise,0.6977,TinyLateralNet__FullyTrained
2022-07-01_140924,stripe,0.6771,TinyLateralNet__FullyTrained
2022-07-01_140924,quantize,0.9556,TinyLateralNet__FullyTrained
2022-07-01_140924,frost,0.5415,TinyLateralNet__FullyTrained
