model,mnist_c_variant,accuracy,model_type
2022-07-01_130352,identity,0.9811,TinyCNN_FullyTrained
2022-07-01_130352,pixelate,0.9239,TinyCNN_FullyTrained
2022-07-01_130352,dotted_line,0.8665,TinyCNN_FullyTrained
2022-07-01_130352,gaussian_blur,0.6013,TinyCNN_FullyTrained
2022-07-01_130352,elastic_transform,0.7452,TinyCNN_FullyTrained
2022-07-01_130352,jpeg_compression,0.9747,TinyCNN_FullyTrained
2022-07-01_130352,speckle_noise,0.8663,TinyCNN_FullyTrained
2022-07-01_130352,glass_blur,0.8499,TinyCNN_FullyTrained
2022-07-01_130352,spatter,0.9625,TinyCNN_FullyTrained
2022-07-01_130352,translate,0.3652,TinyCNN_FullyTrained
2022-07-01_130352,fog,0.5497,TinyCNN_FullyTrained
2022-07-01_130352,shear,0.94,TinyCNN_FullyTrained
2022-07-01_130352,scale,0.7387,TinyCNN_FullyTrained
2022-07-01_130352,zigzag,0.7509,TinyCNN_FullyTrained
2022-07-01_130352,defocus_blur,0.4821,TinyCNN_FullyTrained
2022-07-01_130352,gaussian_noise,0.398,TinyCNN_FullyTrained
2022-07-01_130352,contrast,0.1137,TinyCNN_FullyTrained
2022-07-01_130352,canny_edges,0.383,TinyCNN_FullyTrained
2022-07-01_130352,zoom_blur,0.9289,TinyCNN_FullyTrained
2022-07-01_130352,line,0.8018,TinyCNN_FullyTrained
2022-07-01_130352,pessimal_noise,0.9248,TinyCNN_FullyTrained
2022-07-01_130352,rotate,0.8762,TinyCNN_FullyTrained
2022-07-01_130352,brightness,0.4771,TinyCNN_FullyTrained
2022-07-01_130352,shot_noise,0.8244,TinyCNN_FullyTrained
2022-07-01_130352,saturate,0.8258,TinyCNN_FullyTrained
2022-07-01_130352,motion_blur,0.8277,TinyCNN_FullyTrained
2022-07-01_130352,snow,0.6766,TinyCNN_FullyTrained
2022-07-01_130352,inverse,0.0875,TinyCNN_FullyTrained
2022-07-01_130352,impulse_noise,0.4628,TinyCNN_FullyTrained
2022-07-01_130352,stripe,0.7556,TinyCNN_FullyTrained
2022-07-01_130352,quantize,0.944,TinyCNN_FullyTrained
2022-07-01_130352,frost,0.5009,TinyCNN_FullyTrained
