model,mnist_c_variant,accuracy,model_type
2022-07-05_005822,identity,0.9784,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,pixelate,0.9537,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,dotted_line,0.7397,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,gaussian_blur,0.8685,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,elastic_transform,0.7456,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,jpeg_compression,0.9688,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,speckle_noise,0.972,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,glass_blur,0.909,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,spatter,0.9236,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,translate,0.3675,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,fog,0.4787,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,shear,0.9328,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,scale,0.5183,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,zigzag,0.5561,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,defocus_blur,0.8703,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,gaussian_noise,0.3617,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,contrast,0.5437,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,canny_edges,0.7456,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,zoom_blur,0.9541,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,line,0.6587,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,pessimal_noise,0.8217,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,rotate,0.8613,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,brightness,0.4342,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,shot_noise,0.9703,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,saturate,0.8729,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,motion_blur,0.8858,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,snow,0.5672,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,inverse,0.0836,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,impulse_noise,0.392,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,stripe,0.4109,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,quantize,0.9741,TinyLateralNet__FullyTrained__d1
2022-07-05_005822,frost,0.3807,TinyLateralNet__FullyTrained__d1
