model,mnist_c_variant,accuracy,model_type
2022-07-01_141201,identity,0.9734,TinyLateralNet__FullyTrained
2022-07-01_141201,pixelate,0.9344,TinyLateralNet__FullyTrained
2022-07-01_141201,dotted_line,0.7174,TinyLateralNet__FullyTrained
2022-07-01_141201,gaussian_blur,0.7785,TinyLateralNet__FullyTrained
2022-07-01_141201,elastic_transform,0.72,TinyLateralNet__FullyTrained
2022-07-01_141201,jpeg_compression,0.9693,TinyLateralNet__FullyTrained
2022-07-01_141201,speckle_noise,0.9605,TinyLateralNet__FullyTrained
2022-07-01_141201,glass_blur,0.8813,TinyLateralNet__FullyTrained
2022-07-01_141201,spatter,0.9437,TinyLateralNet__FullyTrained
2022-07-01_141201,translate,0.3157,TinyLateralNet__FullyTrained
2022-07-01_141201,fog,0.3881,TinyLateralNet__FullyTrained
2022-07-01_141201,shear,0.9248,TinyLateralNet__FullyTrained
2022-07-01_141201,scale,0.6632,TinyLateralNet__FullyTrained
2022-07-01_141201,zigzag,0.5422,TinyLateralNet__FullyTrained
2022-07-01_141201,defocus_blur,0.7472,TinyLateralNet__FullyTrained
2022-07-01_141201,gaussian_noise,0.4817,TinyLateralNet__FullyTrained
2022-07-01_141201,contrast,0.17,TinyLateralNet__FullyTrained
2022-07-01_141201,canny_edges,0.5197,TinyLateralNet__FullyTrained
2022-07-01_141201,zoom_blur,0.9121,TinyLateralNet__FullyTrained
2022-07-01_141201,line,0.6263,TinyLateralNet__FullyTrained
2022-07-01_141201,pessimal_noise,0.6949,TinyLateralNet__FullyTrained
2022-07-01_141201,rotate,0.8327,TinyLateralNet__FullyTrained
2022-07-01_141201,brightness,0.8391,TinyLateralNet__FullyTrained
2022-07-01_141201,shot_noise,0.9608,TinyLateralNet__FullyTrained
2022-07-01_141201,saturate,0.8369,TinyLateralNet__FullyTrained
2022-07-01_141201,motion_blur,0.8623,TinyLateralNet__FullyTrained
2022-07-01_141201,snow,0.793,TinyLateralNet__FullyTrained
2022-07-01_141201,inverse,0.1235,TinyLateralNet__FullyTrained
2022-07-01_141201,impulse_noise,0.4459,TinyLateralNet__FullyTrained
2022-07-01_141201,stripe,0.6333,TinyLateralNet__FullyTrained
2022-07-01_141201,quantize,0.9655,TinyLateralNet__FullyTrained
2022-07-01_141201,frost,0.678,TinyLateralNet__FullyTrained
