model,mnist_c_variant,accuracy,model_type
2022-07-01_130127,identity,0.984,TinyCNN_FullyTrained
2022-07-01_130127,pixelate,0.9346,TinyCNN_FullyTrained
2022-07-01_130127,dotted_line,0.8572,TinyCNN_FullyTrained
2022-07-01_130127,gaussian_blur,0.5746,TinyCNN_FullyTrained
2022-07-01_130127,elastic_transform,0.7407,TinyCNN_FullyTrained
2022-07-01_130127,jpeg_compression,0.9779,TinyCNN_FullyTrained
2022-07-01_130127,speckle_noise,0.9298,TinyCNN_FullyTrained
2022-07-01_130127,glass_blur,0.8769,TinyCNN_FullyTrained
2022-07-01_130127,spatter,0.9637,TinyCNN_FullyTrained
2022-07-01_130127,translate,0.3741,TinyCNN_FullyTrained
2022-07-01_130127,fog,0.3846,TinyCNN_FullyTrained
2022-07-01_130127,shear,0.936,TinyCNN_FullyTrained
2022-07-01_130127,scale,0.7507,TinyCNN_FullyTrained
2022-07-01_130127,zigzag,0.718,TinyCNN_FullyTrained
2022-07-01_130127,defocus_blur,0.4884,TinyCNN_FullyTrained
2022-07-01_130127,gaussian_noise,0.3717,TinyCNN_FullyTrained
2022-07-01_130127,contrast,0.1135,TinyCNN_FullyTrained
2022-07-01_130127,canny_edges,0.4552,TinyCNN_FullyTrained
2022-07-01_130127,zoom_blur,0.8918,TinyCNN_FullyTrained
2022-07-01_130127,line,0.812,TinyCNN_FullyTrained
2022-07-01_130127,pessimal_noise,0.8799,TinyCNN_FullyTrained
2022-07-01_130127,rotate,0.8688,TinyCNN_FullyTrained
2022-07-01_130127,brightness,0.4167,TinyCNN_FullyTrained
2022-07-01_130127,shot_noise,0.9015,TinyCNN_FullyTrained
2022-07-01_130127,saturate,0.8482,TinyCNN_FullyTrained
2022-07-01_130127,motion_blur,0.7865,TinyCNN_FullyTrained
2022-07-01_130127,snow,0.6483,TinyCNN_FullyTrained
2022-07-01_130127,inverse,0.1046,TinyCNN_FullyTrained
2022-07-01_130127,impulse_noise,0.4682,TinyCNN_FullyTrained
2022-07-01_130127,stripe,0.7583,TinyCNN_FullyTrained
2022-07-01_130127,quantize,0.9681,TinyCNN_FullyTrained
2022-07-01_130127,frost,0.4343,TinyCNN_FullyTrained
