model,mnist_c_variant,accuracy,model_type
2022-07-01_123001,identity,0.9845,TinyCNN_FullyTrained
2022-07-01_123001,pixelate,0.9394,TinyCNN_FullyTrained
2022-07-01_123001,dotted_line,0.8908,TinyCNN_FullyTrained
2022-07-01_123001,gaussian_blur,0.7481,TinyCNN_FullyTrained
2022-07-01_123001,elastic_transform,0.7674,TinyCNN_FullyTrained
2022-07-01_123001,jpeg_compression,0.9786,TinyCNN_FullyTrained
2022-07-01_123001,speckle_noise,0.9196,TinyCNN_FullyTrained
2022-07-01_123001,glass_blur,0.8522,TinyCNN_FullyTrained
2022-07-01_123001,spatter,0.9617,TinyCNN_FullyTrained
2022-07-01_123001,translate,0.3801,TinyCNN_FullyTrained
2022-07-01_123001,fog,0.5132,TinyCNN_FullyTrained
2022-07-01_123001,shear,0.9457,TinyCNN_FullyTrained
2022-07-01_123001,scale,0.7419,TinyCNN_FullyTrained
2022-07-01_123001,zigzag,0.7323,TinyCNN_FullyTrained
2022-07-01_123001,defocus_blur,0.674,TinyCNN_FullyTrained
2022-07-01_123001,gaussian_noise,0.3534,TinyCNN_FullyTrained
2022-07-01_123001,contrast,0.1422,TinyCNN_FullyTrained
2022-07-01_123001,canny_edges,0.449,TinyCNN_FullyTrained
2022-07-01_123001,zoom_blur,0.941,TinyCNN_FullyTrained
2022-07-01_123001,line,0.8161,TinyCNN_FullyTrained
2022-07-01_123001,pessimal_noise,0.9038,TinyCNN_FullyTrained
2022-07-01_123001,rotate,0.8789,TinyCNN_FullyTrained
2022-07-01_123001,brightness,0.4335,TinyCNN_FullyTrained
2022-07-01_123001,shot_noise,0.8956,TinyCNN_FullyTrained
2022-07-01_123001,saturate,0.8277,TinyCNN_FullyTrained
2022-07-01_123001,motion_blur,0.8682,TinyCNN_FullyTrained
2022-07-01_123001,snow,0.589,TinyCNN_FullyTrained
2022-07-01_123001,inverse,0.0508,TinyCNN_FullyTrained
2022-07-01_123001,impulse_noise,0.479,TinyCNN_FullyTrained
2022-07-01_123001,stripe,0.3348,TinyCNN_FullyTrained
2022-07-01_123001,quantize,0.9694,TinyCNN_FullyTrained
2022-07-01_123001,frost,0.4218,TinyCNN_FullyTrained
