model,mnist_c_variant,accuracy,model_type
2022-07-04_212354,identity,0.984,TinyCNN_PreTrained
2022-07-04_212354,pixelate,0.9202,TinyCNN_PreTrained
2022-07-04_212354,dotted_line,0.8143,TinyCNN_PreTrained
2022-07-04_212354,gaussian_blur,0.5918,TinyCNN_PreTrained
2022-07-04_212354,elastic_transform,0.7621,TinyCNN_PreTrained
2022-07-04_212354,jpeg_compression,0.9788,TinyCNN_PreTrained
2022-07-04_212354,speckle_noise,0.7866,TinyCNN_PreTrained
2022-07-04_212354,glass_blur,0.7398,TinyCNN_PreTrained
2022-07-04_212354,spatter,0.9563,TinyCNN_PreTrained
2022-07-04_212354,translate,0.4062,TinyCNN_PreTrained
2022-07-04_212354,fog,0.2341,TinyCNN_PreTrained
2022-07-04_212354,shear,0.9414,TinyCNN_PreTrained
2022-07-04_212354,scale,0.7846,TinyCNN_PreTrained
2022-07-04_212354,zigzag,0.6849,TinyCNN_PreTrained
2022-07-04_212354,defocus_blur,0.4894,TinyCNN_PreTrained
2022-07-04_212354,gaussian_noise,0.1152,TinyCNN_PreTrained
2022-07-04_212354,contrast,0.1451,TinyCNN_PreTrained
2022-07-04_212354,canny_edges,0.3796,TinyCNN_PreTrained
2022-07-04_212354,zoom_blur,0.9168,TinyCNN_PreTrained
2022-07-04_212354,line,0.7665,TinyCNN_PreTrained
2022-07-04_212354,pessimal_noise,0.8194,TinyCNN_PreTrained
2022-07-04_212354,rotate,0.8776,TinyCNN_PreTrained
2022-07-04_212354,brightness,0.2073,TinyCNN_PreTrained
2022-07-04_212354,shot_noise,0.7201,TinyCNN_PreTrained
2022-07-04_212354,saturate,0.5462,TinyCNN_PreTrained
2022-07-04_212354,motion_blur,0.7666,TinyCNN_PreTrained
2022-07-04_212354,snow,0.3444,TinyCNN_PreTrained
2022-07-04_212354,inverse,0.095,TinyCNN_PreTrained
2022-07-04_212354,impulse_noise,0.1876,TinyCNN_PreTrained
2022-07-04_212354,stripe,0.3181,TinyCNN_PreTrained
2022-07-04_212354,quantize,0.9454,TinyCNN_PreTrained
2022-07-04_212354,frost,0.2457,TinyCNN_PreTrained
