model,mnist_c_variant,accuracy,model_type
2022-07-04_213158,identity,0.9838,TinyCNN_PreTrained
2022-07-04_213158,pixelate,0.9214,TinyCNN_PreTrained
2022-07-04_213158,dotted_line,0.8232,TinyCNN_PreTrained
2022-07-04_213158,gaussian_blur,0.5552,TinyCNN_PreTrained
2022-07-04_213158,elastic_transform,0.7473,TinyCNN_PreTrained
2022-07-04_213158,jpeg_compression,0.9778,TinyCNN_PreTrained
2022-07-04_213158,speckle_noise,0.8115,TinyCNN_PreTrained
2022-07-04_213158,glass_blur,0.7763,TinyCNN_PreTrained
2022-07-04_213158,spatter,0.9612,TinyCNN_PreTrained
2022-07-04_213158,translate,0.4004,TinyCNN_PreTrained
2022-07-04_213158,fog,0.3628,TinyCNN_PreTrained
2022-07-04_213158,shear,0.9384,TinyCNN_PreTrained
2022-07-04_213158,scale,0.7769,TinyCNN_PreTrained
2022-07-04_213158,zigzag,0.6793,TinyCNN_PreTrained
2022-07-04_213158,defocus_blur,0.3996,TinyCNN_PreTrained
2022-07-04_213158,gaussian_noise,0.1121,TinyCNN_PreTrained
2022-07-04_213158,contrast,0.1215,TinyCNN_PreTrained
2022-07-04_213158,canny_edges,0.3353,TinyCNN_PreTrained
2022-07-04_213158,zoom_blur,0.9078,TinyCNN_PreTrained
2022-07-04_213158,line,0.7713,TinyCNN_PreTrained
2022-07-04_213158,pessimal_noise,0.8154,TinyCNN_PreTrained
2022-07-04_213158,rotate,0.8741,TinyCNN_PreTrained
2022-07-04_213158,brightness,0.3226,TinyCNN_PreTrained
2022-07-04_213158,shot_noise,0.7408,TinyCNN_PreTrained
2022-07-04_213158,saturate,0.614,TinyCNN_PreTrained
2022-07-04_213158,motion_blur,0.7113,TinyCNN_PreTrained
2022-07-04_213158,snow,0.3924,TinyCNN_PreTrained
2022-07-04_213158,inverse,0.0973,TinyCNN_PreTrained
2022-07-04_213158,impulse_noise,0.1617,TinyCNN_PreTrained
2022-07-04_213158,stripe,0.3532,TinyCNN_PreTrained
2022-07-04_213158,quantize,0.9497,TinyCNN_PreTrained
2022-07-04_213158,frost,0.2894,TinyCNN_PreTrained
