model,mnist_c_variant,accuracy,model_type
2022-07-04_224458,identity,0.9766,TinyLateralNet__PreTrained
2022-07-04_224458,pixelate,0.9187,TinyLateralNet__PreTrained
2022-07-04_224458,dotted_line,0.6608,TinyLateralNet__PreTrained
2022-07-04_224458,gaussian_blur,0.47,TinyLateralNet__PreTrained
2022-07-04_224458,elastic_transform,0.7178,TinyLateralNet__PreTrained
2022-07-04_224458,jpeg_compression,0.9442,TinyLateralNet__PreTrained
2022-07-04_224458,speckle_noise,0.7434,TinyLateralNet__PreTrained
2022-07-04_224458,glass_blur,0.8312,TinyLateralNet__PreTrained
2022-07-04_224458,spatter,0.7823,TinyLateralNet__PreTrained
2022-07-04_224458,translate,0.3713,TinyLateralNet__PreTrained
2022-07-04_224458,fog,0.3345,TinyLateralNet__PreTrained
2022-07-04_224458,shear,0.9228,TinyLateralNet__PreTrained
2022-07-04_224458,scale,0.7539,TinyLateralNet__PreTrained
2022-07-04_224458,zigzag,0.5152,TinyLateralNet__PreTrained
2022-07-04_224458,defocus_blur,0.3261,TinyLateralNet__PreTrained
2022-07-04_224458,gaussian_noise,0.098,TinyLateralNet__PreTrained
2022-07-04_224458,contrast,0.1164,TinyLateralNet__PreTrained
2022-07-04_224458,canny_edges,0.2995,TinyLateralNet__PreTrained
2022-07-04_224458,zoom_blur,0.8527,TinyLateralNet__PreTrained
2022-07-04_224458,line,0.6176,TinyLateralNet__PreTrained
2022-07-04_224458,pessimal_noise,0.663,TinyLateralNet__PreTrained
2022-07-04_224458,rotate,0.8451,TinyLateralNet__PreTrained
2022-07-04_224458,brightness,0.1217,TinyLateralNet__PreTrained
2022-07-04_224458,shot_noise,0.6702,TinyLateralNet__PreTrained
2022-07-04_224458,saturate,0.3787,TinyLateralNet__PreTrained
2022-07-04_224458,motion_blur,0.6941,TinyLateralNet__PreTrained
2022-07-04_224458,snow,0.0661,TinyLateralNet__PreTrained
2022-07-04_224458,inverse,0.192,TinyLateralNet__PreTrained
2022-07-04_224458,impulse_noise,0.1044,TinyLateralNet__PreTrained
2022-07-04_224458,stripe,0.0141,TinyLateralNet__PreTrained
2022-07-04_224458,quantize,0.8403,TinyLateralNet__PreTrained
2022-07-04_224458,frost,0.0824,TinyLateralNet__PreTrained
