model,mnist_c_variant,accuracy,model_type
2022-07-01_141404,identity,0.9776,TinyLateralNet__FullyTrained
2022-07-01_141404,pixelate,0.9439,TinyLateralNet__FullyTrained
2022-07-01_141404,dotted_line,0.8517,TinyLateralNet__FullyTrained
2022-07-01_141404,gaussian_blur,0.8432,TinyLateralNet__FullyTrained
2022-07-01_141404,elastic_transform,0.7073,TinyLateralNet__FullyTrained
2022-07-01_141404,jpeg_compression,0.9744,TinyLateralNet__FullyTrained
2022-07-01_141404,speckle_noise,0.9703,TinyLateralNet__FullyTrained
2022-07-01_141404,glass_blur,0.9279,TinyLateralNet__FullyTrained
2022-07-01_141404,spatter,0.9471,TinyLateralNet__FullyTrained
2022-07-01_141404,translate,0.3107,TinyLateralNet__FullyTrained
2022-07-01_141404,fog,0.3349,TinyLateralNet__FullyTrained
2022-07-01_141404,shear,0.9285,TinyLateralNet__FullyTrained
2022-07-01_141404,scale,0.6285,TinyLateralNet__FullyTrained
2022-07-01_141404,zigzag,0.6232,TinyLateralNet__FullyTrained
2022-07-01_141404,defocus_blur,0.7921,TinyLateralNet__FullyTrained
2022-07-01_141404,gaussian_noise,0.5657,TinyLateralNet__FullyTrained
2022-07-01_141404,contrast,0.1509,TinyLateralNet__FullyTrained
2022-07-01_141404,canny_edges,0.7619,TinyLateralNet__FullyTrained
2022-07-01_141404,zoom_blur,0.9343,TinyLateralNet__FullyTrained
2022-07-01_141404,line,0.7771,TinyLateralNet__FullyTrained
2022-07-01_141404,pessimal_noise,0.9097,TinyLateralNet__FullyTrained
2022-07-01_141404,rotate,0.8444,TinyLateralNet__FullyTrained
2022-07-01_141404,brightness,0.6346,TinyLateralNet__FullyTrained
2022-07-01_141404,shot_noise,0.9692,TinyLateralNet__FullyTrained
2022-07-01_141404,saturate,0.7531,TinyLateralNet__FullyTrained
2022-07-01_141404,motion_blur,0.8189,TinyLateralNet__FullyTrained
2022-07-01_141404,snow,0.7476,TinyLateralNet__FullyTrained
2022-07-01_141404,inverse,0.0813,TinyLateralNet__FullyTrained
2022-07-01_141404,impulse_noise,0.5625,TinyLateralNet__FullyTrained
2022-07-01_141404,stripe,0.6354,TinyLateralNet__FullyTrained
2022-07-01_141404,quantize,0.9726,TinyLateralNet__FullyTrained
2022-07-01_141404,frost,0.6097,TinyLateralNet__FullyTrained
