model,mnist_c_variant,accuracy,model_type
2022-07-01_124331,identity,0.9829,TinyCNN_FullyTrained
2022-07-01_124331,pixelate,0.9294,TinyCNN_FullyTrained
2022-07-01_124331,dotted_line,0.8885,TinyCNN_FullyTrained
2022-07-01_124331,gaussian_blur,0.6667,TinyCNN_FullyTrained
2022-07-01_124331,elastic_transform,0.77,TinyCNN_FullyTrained
2022-07-01_124331,jpeg_compression,0.9767,TinyCNN_FullyTrained
2022-07-01_124331,speckle_noise,0.8989,TinyCNN_FullyTrained
2022-07-01_124331,glass_blur,0.8953,TinyCNN_FullyTrained
2022-07-01_124331,spatter,0.9583,TinyCNN_FullyTrained
2022-07-01_124331,translate,0.3748,TinyCNN_FullyTrained
2022-07-01_124331,fog,0.5148,TinyCNN_FullyTrained
2022-07-01_124331,shear,0.9451,TinyCNN_FullyTrained
2022-07-01_124331,scale,0.676,TinyCNN_FullyTrained
2022-07-01_124331,zigzag,0.7082,TinyCNN_FullyTrained
2022-07-01_124331,defocus_blur,0.6524,TinyCNN_FullyTrained
2022-07-01_124331,gaussian_noise,0.46,TinyCNN_FullyTrained
2022-07-01_124331,contrast,0.1263,TinyCNN_FullyTrained
2022-07-01_124331,canny_edges,0.4145,TinyCNN_FullyTrained
2022-07-01_124331,zoom_blur,0.9465,TinyCNN_FullyTrained
2022-07-01_124331,line,0.7742,TinyCNN_FullyTrained
2022-07-01_124331,pessimal_noise,0.8635,TinyCNN_FullyTrained
2022-07-01_124331,rotate,0.8585,TinyCNN_FullyTrained
2022-07-01_124331,brightness,0.3837,TinyCNN_FullyTrained
2022-07-01_124331,shot_noise,0.8607,TinyCNN_FullyTrained
2022-07-01_124331,saturate,0.8613,TinyCNN_FullyTrained
2022-07-01_124331,motion_blur,0.8997,TinyCNN_FullyTrained
2022-07-01_124331,snow,0.6162,TinyCNN_FullyTrained
2022-07-01_124331,inverse,0.0845,TinyCNN_FullyTrained
2022-07-01_124331,impulse_noise,0.543,TinyCNN_FullyTrained
2022-07-01_124331,stripe,0.7292,TinyCNN_FullyTrained
2022-07-01_124331,quantize,0.9643,TinyCNN_FullyTrained
2022-07-01_124331,frost,0.3937,TinyCNN_FullyTrained
