,epoch,iterations,test_acc,test_loss,dropout,learning_rate,model
2022-04-01_193339__it9999_e1.pt,1,9999,0.9882,0.003851574396260867,0.2,0.003,2022-04-01_193339
2022-04-01_181849__it13999_e2.pt,2,13999,0.9925,0.0024116440070317117,0.0,0.003,2022-04-01_181849
2022-04-01_220539__it17999_e3.pt,3,17999,0.9887,0.004125024182454218,0.2,0.003,2022-04-01_220539
2022-04-02_003615__it5999_e1.pt,1,5999,0.0974,0.23076109857559216,0.2,0.03,2022-04-02_003615
2022-04-01_232146__it17999_e3.pt,3,17999,0.99,0.0033770321669665247,0.2,0.0003,2022-04-01_232146
2022-04-01_204931__it11999_e2.pt,2,11999,0.9874,0.0037795407876901835,0.5,0.003,2022-04-01_204931
2022-04-01_232146__it7999_e1.pt,1,7999,0.9866,0.005068775622593237,0.2,0.0003,2022-04-01_232146
2022-04-01_181849__it7999_e1.pt,1,7999,0.9847,0.005177185058758015,0.0,0.003,2022-04-01_181849
2022-04-01_193339__it13999_e2.pt,2,13999,0.9908,0.0028946780494318886,0.2,0.003,2022-04-01_193339
2022-04-01_232146__it19999_e3.pt,3,19999,0.9915,0.0026685911473858072,0.2,0.0003,2022-04-01_232146
2022-04-01_232146__it5999_e1.pt,1,5999,0.9848,0.004278136121988884,0.2,0.0003,2022-04-01_232146
2022-04-01_220539__it19999_e3.pt,3,19999,0.9905,0.0031596099528567226,0.2,0.003,2022-04-01_220539
2022-04-02_030457__it11999_e2.pt,2,11999,0.9781,0.006611723935196413,0.2,0.0001,2022-04-02_030457
2022-04-02_014927__it19999_e3.pt,3,19999,0.9928,0.0024484458765836143,0.2,0.001,2022-04-02_014927
2022-04-01_204931__it13999_e2.pt,2,13999,0.9846,0.004768487448553785,0.5,0.003,2022-04-01_204931
2022-04-02_003615__it1999_e0.pt,0,1999,0.1009,0.23084141111373926,0.2,0.03,2022-04-02_003615
2022-04-01_193339__it7999_e1.pt,1,7999,0.992,0.0027891697137564886,0.2,0.003,2022-04-01_193339
2022-04-01_220539__it15999_e3.pt,3,15999,0.9919,0.0024595922118956187,0.2,0.003,2022-04-01_220539
2022-04-01_181849__it9999_e1.pt,1,9999,0.9907,0.0031159028356654247,0.0,0.003,2022-04-01_181849
2022-04-02_014927__it15999_e3.pt,3,15999,0.9904,0.003133632542814783,0.2,0.001,2022-04-02_014927
2022-04-01_204931__it9999_e1.pt,1,9999,0.9901,0.0031255414681172597,0.5,0.003,2022-04-01_204931
2022-04-02_030457__it13999_e2.pt,2,13999,0.9862,0.00418341523560416,0.2,0.0001,2022-04-02_030457
2022-04-01_220539__it9999_e1.pt,1,9999,0.988,0.0036014355606767945,0.2,0.003,2022-04-01_220539
2022-04-02_014927__it1999_e0.pt,0,1999,0.9772,0.007845278427449288,0.2,0.001,2022-04-02_014927
