,model,model_key,mnist_c_variant,accuracy
49,2022-05-03_110019_LCL5_d2__it22500_e4.pt,vgg19r_lcl__random_k_change,canny_edges,0.7308
50,2022-05-03_110019_LCL5_d2__it22500_e4.pt,vgg19r_lcl__random_k_change,zoom_blur,0.9816
51,2022-05-03_110019_LCL5_d2__it22500_e4.pt,vgg19r_lcl__random_k_change,line,0.9066
52,2022-05-03_110019_LCL5_d2__it22500_e4.pt,vgg19r_lcl__random_k_change,pessimal_noise,0.9662
53,2022-05-03_110019_LCL5_d2__it22500_e4.pt,vgg19r_lcl__random_k_change,rotate,0.9227
54,2022-05-03_110019_LCL5_d2__it22500_e4.pt,vgg19r_lcl__random_k_change,brightness,0.9911
55,2022-05-03_110019_LCL5_d2__it22500_e4.pt,vgg19r_lcl__random_k_change,shot_noise,0.9866
56,2022-05-03_110019_LCL5_d2__it22500_e4.pt,vgg19r_lcl__random_k_change,saturate,0.9859
57,2022-05-03_110019_LCL5_d2__it22500_e4.pt,vgg19r_lcl__random_k_change,motion_blur,0.9545
58,2022-05-03_110019_LCL5_d2__it22500_e4.pt,vgg19r_lcl__random_k_change,snow,0.9847
59,2022-05-03_110019_LCL5_d2__it22500_e4.pt,vgg19r_lcl__random_k_change,inverse,0.2776
60,2022-05-03_110019_LCL5_d2__it22500_e4.pt,vgg19r_lcl__random_k_change,impulse_noise,0.9715
61,2022-05-03_110019_LCL5_d2__it22500_e4.pt,vgg19r_lcl__random_k_change,stripe,0.8968
62,2022-05-03_110019_LCL5_d2__it22500_e4.pt,vgg19r_lcl__random_k_change,quantize,0.9924
63,2022-05-03_110019_LCL5_d2__it22500_e4.pt,vgg19r_lcl__random_k_change,frost,0.9883
64,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,pixelate,0.9739
65,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,dotted_line,0.9788
66,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,gaussian_blur,0.8769
67,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,elastic_transform,0.898
68,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,jpeg_compression,0.9906
69,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,speckle_noise,0.9846
70,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,identity,0.9932
71,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,glass_blur,0.9586
72,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,spatter,0.9708
73,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,translate,0.6066
74,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,fog,0.9889
75,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,shear,0.9766
76,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,scale,0.9667
77,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,zigzag,0.9397
78,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,defocus_blur,0.949
79,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,gaussian_noise,0.9772
80,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,contrast,0.9905
81,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,canny_edges,0.6978
82,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,zoom_blur,0.9827
83,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,line,0.9065
84,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,pessimal_noise,0.9601
85,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,rotate,0.9192
86,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,brightness,0.9898
87,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,shot_noise,0.9843
88,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,saturate,0.9849
89,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,motion_blur,0.9506
90,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,snow,0.9837
91,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,inverse,0.2475
92,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,impulse_noise,0.9718
93,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,stripe,0.8992
94,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,quantize,0.9918
95,2022-05-03_015249_LCL5_d2__it21250_e4.pt,vgg19r_lcl__random_k_change,frost,0.9874
96,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,pixelate,0.9746
97,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,dotted_line,0.978
98,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,gaussian_blur,0.8785
99,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,elastic_transform,0.889
