,model,model_key,mnist_c_variant,accuracy
50,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,zoom_blur,0.9827
51,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,line,0.9151
52,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,pessimal_noise,0.9683
53,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,rotate,0.9235
54,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,brightness,0.9901
55,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,shot_noise,0.9858
56,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,saturate,0.9859
57,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,motion_blur,0.9482
58,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,snow,0.9846
59,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,inverse,0.3061
60,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,impulse_noise,0.9731
61,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,stripe,0.9124
62,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,quantize,0.9917
63,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,frost,0.9879
64,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,pixelate,0.9764
65,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,dotted_line,0.9814
66,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,gaussian_blur,0.8775
67,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,elastic_transform,0.8946
68,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,jpeg_compression,0.9918
69,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,speckle_noise,0.9871
70,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,identity,0.9933
71,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,glass_blur,0.9643
72,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,spatter,0.9719
73,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,translate,0.6047
74,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,fog,0.9888
75,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,shear,0.9789
76,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,scale,0.9581
77,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,zigzag,0.9488
78,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,defocus_blur,0.9506
79,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,gaussian_noise,0.9801
80,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,contrast,0.9895
81,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,canny_edges,0.7483
82,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,zoom_blur,0.9832
83,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,line,0.9214
84,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,pessimal_noise,0.9661
85,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,rotate,0.9228
86,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,brightness,0.9904
87,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,shot_noise,0.9862
88,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,saturate,0.9863
89,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,motion_blur,0.9485
90,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,snow,0.9855
91,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,inverse,0.2721
92,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,impulse_noise,0.9759
93,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,stripe,0.9104
94,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,quantize,0.9927
