model,mnist_c_variant,accuracy,model_type
2022-07-04_212945,identity,0.9828,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,pixelate,0.9182,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,dotted_line,0.811,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,gaussian_blur,0.5806,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,elastic_transform,0.7594,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,jpeg_compression,0.9754,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,speckle_noise,0.8112,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,glass_blur,0.7385,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,spatter,0.9562,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,translate,0.4137,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,fog,0.2072,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,shear,0.9434,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,scale,0.8093,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,zigzag,0.6782,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,defocus_blur,0.4576,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,gaussian_noise,0.1238,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,contrast,0.1349,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,canny_edges,0.4439,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,zoom_blur,0.9027,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,line,0.7697,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,pessimal_noise,0.8037,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,rotate,0.8817,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,brightness,0.2733,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,shot_noise,0.7579,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,saturate,0.6268,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,motion_blur,0.7361,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,snow,0.3741,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,inverse,0.1364,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,impulse_noise,0.2098,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,stripe,0.3203,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,quantize,0.9459,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212945,frost,0.2797,TinyCNN__Optuna_BestRun__FineTune2
