model,mnist_c_variant,accuracy,model_type
2022-07-02_151430,identity,0.9737,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,pixelate,0.9021,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,dotted_line,0.827,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,gaussian_blur,0.493,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,elastic_transform,0.6639,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,jpeg_compression,0.9568,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,speckle_noise,0.8703,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,glass_blur,0.8317,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,spatter,0.94,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,translate,0.3643,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,fog,0.3594,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,shear,0.9103,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,scale,0.582,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,zigzag,0.6288,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,defocus_blur,0.342,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,gaussian_noise,0.2856,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,contrast,0.1181,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,canny_edges,0.4066,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,zoom_blur,0.8779,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,line,0.7433,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,pessimal_noise,0.908,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,rotate,0.837,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,brightness,0.2113,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,shot_noise,0.8335,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,saturate,0.7053,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,motion_blur,0.7122,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,snow,0.3562,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,inverse,0.1618,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,impulse_noise,0.3003,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,stripe,0.1445,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,quantize,0.9185,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151430,frost,0.2377,TinyLateralNet__Optuna_BestRun__FineTune
