model,mnist_c_variant,accuracy,model_type
2022-07-04_212345,identity,0.9839,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,pixelate,0.9195,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,dotted_line,0.8382,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,gaussian_blur,0.5591,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,elastic_transform,0.7651,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,jpeg_compression,0.979,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,speckle_noise,0.8422,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,glass_blur,0.7677,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,spatter,0.9587,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,translate,0.4207,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,fog,0.2622,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,shear,0.9408,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,scale,0.7853,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,zigzag,0.6993,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,defocus_blur,0.4503,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,gaussian_noise,0.1519,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,contrast,0.1348,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,canny_edges,0.468,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,zoom_blur,0.9179,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,line,0.78,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,pessimal_noise,0.8221,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,rotate,0.8776,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,brightness,0.3157,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,shot_noise,0.7906,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,saturate,0.6307,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,motion_blur,0.7591,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,snow,0.3982,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,inverse,0.1374,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,impulse_noise,0.2657,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,stripe,0.3711,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,quantize,0.95,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212345,frost,0.3249,TinyCNN__Optuna_BestRun__FineTune2
