model,mnist_c_variant,accuracy,model_type
2022-07-04_213210,identity,0.9816,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,pixelate,0.9114,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,dotted_line,0.8095,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,gaussian_blur,0.5757,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,elastic_transform,0.7533,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,jpeg_compression,0.9757,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,speckle_noise,0.8323,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,glass_blur,0.7749,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,spatter,0.9575,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,translate,0.4019,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,fog,0.2806,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,shear,0.9385,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,scale,0.778,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,zigzag,0.6705,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,defocus_blur,0.4736,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,gaussian_noise,0.1023,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,contrast,0.1368,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,canny_edges,0.4147,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,zoom_blur,0.9079,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,line,0.7699,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,pessimal_noise,0.7997,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,rotate,0.8711,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,brightness,0.3351,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,shot_noise,0.7709,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,saturate,0.637,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,motion_blur,0.7711,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,snow,0.4006,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,inverse,0.103,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,impulse_noise,0.1579,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,stripe,0.2847,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,quantize,0.9504,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_213210,frost,0.3192,TinyCNN__Optuna_BestRun__FineTune2
