model,mnist_c_variant,accuracy,model_type
2022-07-02_162836,identity,0.9698,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,pixelate,0.9297,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,dotted_line,0.7637,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,gaussian_blur,0.7062,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,elastic_transform,0.7332,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,jpeg_compression,0.9645,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,speckle_noise,0.9235,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,glass_blur,0.9017,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,spatter,0.9256,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,translate,0.3656,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,fog,0.2268,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,shear,0.9102,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,scale,0.6409,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,zigzag,0.6015,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,defocus_blur,0.564,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,gaussian_noise,0.2055,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,contrast,0.1571,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,canny_edges,0.4607,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,zoom_blur,0.9173,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,line,0.7115,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,pessimal_noise,0.818,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,rotate,0.8408,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,brightness,0.1159,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,shot_noise,0.9113,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,saturate,0.6584,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,motion_blur,0.8552,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,snow,0.3575,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,inverse,0.1137,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,impulse_noise,0.2548,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,stripe,0.1248,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,quantize,0.9522,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_162836,frost,0.1829,TinyLateralNet__Optuna_BestRun__FineTune
