model,mnist_c_variant,accuracy,model_type
2022-07-04_212354,identity,0.9845,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,pixelate,0.9194,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,dotted_line,0.8186,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,gaussian_blur,0.6119,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,elastic_transform,0.7644,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,jpeg_compression,0.9789,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,speckle_noise,0.8086,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,glass_blur,0.7541,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,spatter,0.9549,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,translate,0.4029,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,fog,0.2285,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,shear,0.9414,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,scale,0.7921,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,zigzag,0.6895,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,defocus_blur,0.5091,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,gaussian_noise,0.1418,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,contrast,0.1571,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,canny_edges,0.4256,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,zoom_blur,0.9133,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,line,0.7714,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,pessimal_noise,0.8267,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,rotate,0.8806,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,brightness,0.2579,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,shot_noise,0.7491,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,saturate,0.5633,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,motion_blur,0.7793,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,snow,0.362,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,inverse,0.0925,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,impulse_noise,0.2271,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,stripe,0.3398,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,quantize,0.9473,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212354,frost,0.2772,TinyCNN__Optuna_BestRun__FineTune2
