model,mnist_c_variant,accuracy,model_type
2022-07-02_151437,identity,0.9575,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,pixelate,0.9121,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,dotted_line,0.9005,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,gaussian_blur,0.5928,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,elastic_transform,0.6039,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,jpeg_compression,0.9546,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,speckle_noise,0.9372,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,glass_blur,0.92,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,spatter,0.9481,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,translate,0.2788,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,fog,0.3369,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,shear,0.8846,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,scale,0.6531,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,zigzag,0.6973,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,defocus_blur,0.7676,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,gaussian_noise,0.3563,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,contrast,0.163,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,canny_edges,0.3347,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,zoom_blur,0.801,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,line,0.7484,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,pessimal_noise,0.7895,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,rotate,0.8044,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,brightness,0.1721,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,shot_noise,0.9259,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,saturate,0.6026,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,motion_blur,0.2693,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,snow,0.3265,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,inverse,0.0886,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,impulse_noise,0.4636,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,stripe,0.4775,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,quantize,0.962,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_151437,frost,0.1879,TinyLateralNet__Optuna_BestRun__FineTune
