model,mnist_c_variant,accuracy,model_type
2022-07-04_214019,identity,0.9741,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,pixelate,0.911,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,dotted_line,0.6656,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,gaussian_blur,0.487,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,elastic_transform,0.7129,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,jpeg_compression,0.9441,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,speckle_noise,0.7159,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,glass_blur,0.7944,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,spatter,0.7857,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,translate,0.3582,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,fog,0.2361,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,shear,0.9174,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,scale,0.7112,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,zigzag,0.512,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,defocus_blur,0.3593,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,gaussian_noise,0.0996,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,contrast,0.138,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,canny_edges,0.2557,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,zoom_blur,0.8318,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,line,0.5895,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,pessimal_noise,0.676,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,rotate,0.848,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,brightness,0.0836,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,shot_noise,0.6487,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,saturate,0.3389,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,motion_blur,0.7242,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,snow,0.0419,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,inverse,0.1562,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,impulse_noise,0.1205,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,stripe,0.0052,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,quantize,0.8371,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214019,frost,0.0495,TinyLateralNet__Optuna_BestRun__FineTune2
