model,mnist_c_variant,accuracy,model_type
2022-07-04_214036,identity,0.9751,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,pixelate,0.9159,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,dotted_line,0.6789,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,gaussian_blur,0.4177,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,elastic_transform,0.7092,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,jpeg_compression,0.9454,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,speckle_noise,0.7713,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,glass_blur,0.8143,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,spatter,0.7984,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,translate,0.4016,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,fog,0.2508,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,shear,0.9246,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,scale,0.6639,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,zigzag,0.5158,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,defocus_blur,0.2708,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,gaussian_noise,0.1257,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,contrast,0.1137,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,canny_edges,0.3555,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,zoom_blur,0.8536,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,line,0.6264,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,pessimal_noise,0.7018,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,rotate,0.8428,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,brightness,0.0629,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,shot_noise,0.7025,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,saturate,0.4068,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,motion_blur,0.6577,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,snow,0.1022,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,inverse,0.1136,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,impulse_noise,0.1577,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,stripe,0.1135,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,quantize,0.858,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214036,frost,0.0949,TinyLateralNet__Optuna_BestRun__FineTune2
