model,mnist_c_variant,accuracy,model_type
2022-07-04_212353,identity,0.9844,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,pixelate,0.9014,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,dotted_line,0.8124,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,gaussian_blur,0.511,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,elastic_transform,0.7367,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,jpeg_compression,0.9722,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,speckle_noise,0.8229,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,glass_blur,0.7405,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,spatter,0.9615,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,translate,0.4144,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,fog,0.1849,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,shear,0.9392,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,scale,0.7699,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,zigzag,0.6687,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,defocus_blur,0.3877,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,gaussian_noise,0.0984,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,contrast,0.1255,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,canny_edges,0.3269,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,zoom_blur,0.8932,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,line,0.7725,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,pessimal_noise,0.7944,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,rotate,0.865,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,brightness,0.3358,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,shot_noise,0.7586,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,saturate,0.657,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,motion_blur,0.7178,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,snow,0.4036,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,inverse,0.1684,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,impulse_noise,0.1263,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,stripe,0.3597,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,quantize,0.9563,TinyCNN__Optuna_BestRun__FineTune2
2022-07-04_212353,frost,0.3369,TinyCNN__Optuna_BestRun__FineTune2
