model,mnist_c_variant,accuracy,model_type
2022-07-02_171121,identity,0.958,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,pixelate,0.9003,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,dotted_line,0.6169,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,gaussian_blur,0.203,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,elastic_transform,0.5683,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,jpeg_compression,0.9547,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,speckle_noise,0.9456,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,glass_blur,0.8865,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,spatter,0.9242,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,translate,0.219,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,fog,0.2324,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,shear,0.8943,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,scale,0.1207,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,zigzag,0.2035,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,defocus_blur,0.1272,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,gaussian_noise,0.1272,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,contrast,0.1135,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,canny_edges,0.3579,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,zoom_blur,0.8357,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,line,0.6396,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,pessimal_noise,0.7301,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,rotate,0.7854,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,brightness,0.0557,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,shot_noise,0.9421,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,saturate,0.1814,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,motion_blur,0.3319,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,snow,0.1207,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,inverse,0.2118,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,impulse_noise,0.1294,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,stripe,0.0195,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,quantize,0.9484,TinyLateralNet__Optuna_BestRun__FineTune
2022-07-02_171121,frost,0.0811,TinyLateralNet__Optuna_BestRun__FineTune
