model,mnist_c_variant,accuracy,model_type
2022-07-04_214028,identity,0.977,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,pixelate,0.9181,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,dotted_line,0.7173,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,gaussian_blur,0.4889,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,elastic_transform,0.7175,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,jpeg_compression,0.9511,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,speckle_noise,0.7927,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,glass_blur,0.8084,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,spatter,0.8195,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,translate,0.3992,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,fog,0.3398,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,shear,0.9252,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,scale,0.727,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,zigzag,0.5682,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,defocus_blur,0.3695,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,gaussian_noise,0.1092,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,contrast,0.1151,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,canny_edges,0.3437,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,zoom_blur,0.8577,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,line,0.6471,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,pessimal_noise,0.7236,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,rotate,0.8486,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,brightness,0.1205,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,shot_noise,0.7312,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,saturate,0.4034,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,motion_blur,0.7142,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,snow,0.081,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,inverse,0.1494,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,impulse_noise,0.1521,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,stripe,0.0146,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,quantize,0.8792,TinyLateralNet__Optuna_BestRun__FineTune2
2022-07-04_214028,frost,0.0833,TinyLateralNet__Optuna_BestRun__FineTune2
