model,mnist_c_variant,accuracy,model_type
2022-07-02_161222,identity,0.9818,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,pixelate,0.9509,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,dotted_line,0.8709,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,gaussian_blur,0.7029,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,elastic_transform,0.7655,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,jpeg_compression,0.981,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,speckle_noise,0.9254,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,glass_blur,0.883,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,spatter,0.9634,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,translate,0.3892,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,fog,0.5139,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,shear,0.9382,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,scale,0.731,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,zigzag,0.7182,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,defocus_blur,0.594,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,gaussian_noise,0.328,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,contrast,0.1138,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,canny_edges,0.51,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,zoom_blur,0.9313,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,line,0.8006,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,pessimal_noise,0.8964,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,rotate,0.8714,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,brightness,0.349,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,shot_noise,0.9049,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,saturate,0.8568,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,motion_blur,0.8532,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,snow,0.602,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,inverse,0.0967,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,impulse_noise,0.4287,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,stripe,0.7191,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,quantize,0.9653,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_161222,frost,0.3681,TinyCNN__Optuna_BestRun__FineTune
