model,mnist_c_variant,accuracy,model_type
2022-07-01_130127,identity,0.9827,TinyCNN__Optuna_BestRun
2022-07-01_130127,pixelate,0.9063,TinyCNN__Optuna_BestRun
2022-07-01_130127,dotted_line,0.8455,TinyCNN__Optuna_BestRun
2022-07-01_130127,gaussian_blur,0.5579,TinyCNN__Optuna_BestRun
2022-07-01_130127,elastic_transform,0.75,TinyCNN__Optuna_BestRun
2022-07-01_130127,jpeg_compression,0.975,TinyCNN__Optuna_BestRun
2022-07-01_130127,speckle_noise,0.8477,TinyCNN__Optuna_BestRun
2022-07-01_130127,glass_blur,0.8201,TinyCNN__Optuna_BestRun
2022-07-01_130127,spatter,0.9578,TinyCNN__Optuna_BestRun
2022-07-01_130127,translate,0.3875,TinyCNN__Optuna_BestRun
2022-07-01_130127,fog,0.3859,TinyCNN__Optuna_BestRun
2022-07-01_130127,shear,0.9435,TinyCNN__Optuna_BestRun
2022-07-01_130127,scale,0.8054,TinyCNN__Optuna_BestRun
2022-07-01_130127,zigzag,0.7183,TinyCNN__Optuna_BestRun
2022-07-01_130127,defocus_blur,0.4596,TinyCNN__Optuna_BestRun
2022-07-01_130127,gaussian_noise,0.3364,TinyCNN__Optuna_BestRun
2022-07-01_130127,contrast,0.114,TinyCNN__Optuna_BestRun
2022-07-01_130127,canny_edges,0.3635,TinyCNN__Optuna_BestRun
2022-07-01_130127,zoom_blur,0.9032,TinyCNN__Optuna_BestRun
2022-07-01_130127,line,0.794,TinyCNN__Optuna_BestRun
2022-07-01_130127,pessimal_noise,0.8908,TinyCNN__Optuna_BestRun
2022-07-01_130127,rotate,0.866,TinyCNN__Optuna_BestRun
2022-07-01_130127,brightness,0.3973,TinyCNN__Optuna_BestRun
2022-07-01_130127,shot_noise,0.803,TinyCNN__Optuna_BestRun
2022-07-01_130127,saturate,0.8255,TinyCNN__Optuna_BestRun
2022-07-01_130127,motion_blur,0.7833,TinyCNN__Optuna_BestRun
2022-07-01_130127,snow,0.6626,TinyCNN__Optuna_BestRun
2022-07-01_130127,inverse,0.1014,TinyCNN__Optuna_BestRun
2022-07-01_130127,impulse_noise,0.4429,TinyCNN__Optuna_BestRun
2022-07-01_130127,stripe,0.7315,TinyCNN__Optuna_BestRun
2022-07-01_130127,quantize,0.9496,TinyCNN__Optuna_BestRun
2022-07-01_130127,frost,0.4197,TinyCNN__Optuna_BestRun
