model,mnist_c_variant,accuracy,model_type
2022-07-01_124048,identity,0.9839,TinyCNN__Optuna_BestRun
2022-07-01_124048,pixelate,0.9218,TinyCNN__Optuna_BestRun
2022-07-01_124048,dotted_line,0.8938,TinyCNN__Optuna_BestRun
2022-07-01_124048,gaussian_blur,0.6374,TinyCNN__Optuna_BestRun
2022-07-01_124048,elastic_transform,0.7479,TinyCNN__Optuna_BestRun
2022-07-01_124048,jpeg_compression,0.9791,TinyCNN__Optuna_BestRun
2022-07-01_124048,speckle_noise,0.9034,TinyCNN__Optuna_BestRun
2022-07-01_124048,glass_blur,0.8225,TinyCNN__Optuna_BestRun
2022-07-01_124048,spatter,0.9636,TinyCNN__Optuna_BestRun
2022-07-01_124048,translate,0.3878,TinyCNN__Optuna_BestRun
2022-07-01_124048,fog,0.4391,TinyCNN__Optuna_BestRun
2022-07-01_124048,shear,0.9365,TinyCNN__Optuna_BestRun
2022-07-01_124048,scale,0.7673,TinyCNN__Optuna_BestRun
2022-07-01_124048,zigzag,0.7463,TinyCNN__Optuna_BestRun
2022-07-01_124048,defocus_blur,0.5114,TinyCNN__Optuna_BestRun
2022-07-01_124048,gaussian_noise,0.3913,TinyCNN__Optuna_BestRun
2022-07-01_124048,contrast,0.1169,TinyCNN__Optuna_BestRun
2022-07-01_124048,canny_edges,0.5025,TinyCNN__Optuna_BestRun
2022-07-01_124048,zoom_blur,0.9151,TinyCNN__Optuna_BestRun
2022-07-01_124048,line,0.8191,TinyCNN__Optuna_BestRun
2022-07-01_124048,pessimal_noise,0.9013,TinyCNN__Optuna_BestRun
2022-07-01_124048,rotate,0.8759,TinyCNN__Optuna_BestRun
2022-07-01_124048,brightness,0.4867,TinyCNN__Optuna_BestRun
2022-07-01_124048,shot_noise,0.8652,TinyCNN__Optuna_BestRun
2022-07-01_124048,saturate,0.857,TinyCNN__Optuna_BestRun
2022-07-01_124048,motion_blur,0.7983,TinyCNN__Optuna_BestRun
2022-07-01_124048,snow,0.6536,TinyCNN__Optuna_BestRun
2022-07-01_124048,inverse,0.0879,TinyCNN__Optuna_BestRun
2022-07-01_124048,impulse_noise,0.4826,TinyCNN__Optuna_BestRun
2022-07-01_124048,stripe,0.4967,TinyCNN__Optuna_BestRun
2022-07-01_124048,quantize,0.9698,TinyCNN__Optuna_BestRun
2022-07-01_124048,frost,0.5125,TinyCNN__Optuna_BestRun
