model,mnist_c_variant,accuracy,model_type
2022-07-01_123001,identity,0.9842,TinyCNN__Optuna_BestRun
2022-07-01_123001,pixelate,0.9526,TinyCNN__Optuna_BestRun
2022-07-01_123001,dotted_line,0.8846,TinyCNN__Optuna_BestRun
2022-07-01_123001,gaussian_blur,0.7862,TinyCNN__Optuna_BestRun
2022-07-01_123001,elastic_transform,0.7709,TinyCNN__Optuna_BestRun
2022-07-01_123001,jpeg_compression,0.9793,TinyCNN__Optuna_BestRun
2022-07-01_123001,speckle_noise,0.9007,TinyCNN__Optuna_BestRun
2022-07-01_123001,glass_blur,0.8526,TinyCNN__Optuna_BestRun
2022-07-01_123001,spatter,0.9628,TinyCNN__Optuna_BestRun
2022-07-01_123001,translate,0.3719,TinyCNN__Optuna_BestRun
2022-07-01_123001,fog,0.5643,TinyCNN__Optuna_BestRun
2022-07-01_123001,shear,0.9479,TinyCNN__Optuna_BestRun
2022-07-01_123001,scale,0.8045,TinyCNN__Optuna_BestRun
2022-07-01_123001,zigzag,0.732,TinyCNN__Optuna_BestRun
2022-07-01_123001,defocus_blur,0.7225,TinyCNN__Optuna_BestRun
2022-07-01_123001,gaussian_noise,0.514,TinyCNN__Optuna_BestRun
2022-07-01_123001,contrast,0.1761,TinyCNN__Optuna_BestRun
2022-07-01_123001,canny_edges,0.4874,TinyCNN__Optuna_BestRun
2022-07-01_123001,zoom_blur,0.9405,TinyCNN__Optuna_BestRun
2022-07-01_123001,line,0.8054,TinyCNN__Optuna_BestRun
2022-07-01_123001,pessimal_noise,0.9069,TinyCNN__Optuna_BestRun
2022-07-01_123001,rotate,0.8783,TinyCNN__Optuna_BestRun
2022-07-01_123001,brightness,0.4516,TinyCNN__Optuna_BestRun
2022-07-01_123001,shot_noise,0.8744,TinyCNN__Optuna_BestRun
2022-07-01_123001,saturate,0.8402,TinyCNN__Optuna_BestRun
2022-07-01_123001,motion_blur,0.874,TinyCNN__Optuna_BestRun
2022-07-01_123001,snow,0.6532,TinyCNN__Optuna_BestRun
2022-07-01_123001,inverse,0.0469,TinyCNN__Optuna_BestRun
2022-07-01_123001,impulse_noise,0.5804,TinyCNN__Optuna_BestRun
2022-07-01_123001,stripe,0.3058,TinyCNN__Optuna_BestRun
2022-07-01_123001,quantize,0.9642,TinyCNN__Optuna_BestRun
2022-07-01_123001,frost,0.4863,TinyCNN__Optuna_BestRun
