model,mnist_c_variant,accuracy,model_type
2022-07-01_123018,identity,0.9732,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,pixelate,0.8996,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,dotted_line,0.6883,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,gaussian_blur,0.8517,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,elastic_transform,0.7191,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,jpeg_compression,0.9683,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,speckle_noise,0.9669,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,glass_blur,0.8742,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,spatter,0.9332,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,translate,0.3173,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,fog,0.4968,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,shear,0.9179,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,scale,0.6565,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,zigzag,0.5542,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,defocus_blur,0.826,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,gaussian_noise,0.2034,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,contrast,0.3989,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,canny_edges,0.7567,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,zoom_blur,0.9329,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,line,0.7201,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,pessimal_noise,0.8726,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,rotate,0.8455,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,brightness,0.395,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,shot_noise,0.9662,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,saturate,0.7342,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,motion_blur,0.8781,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,snow,0.4283,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,inverse,0.0953,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,impulse_noise,0.2221,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,stripe,0.3867,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,quantize,0.965,TinyLateralNet__Optuna_BestRun
2022-07-01_123018,frost,0.3444,TinyLateralNet__Optuna_BestRun
