model,mnist_c_variant,accuracy,model_type
2022-07-01_124331,identity,0.9814,TinyCNN__Optuna_BestRun
2022-07-01_124331,pixelate,0.9472,TinyCNN__Optuna_BestRun
2022-07-01_124331,dotted_line,0.8698,TinyCNN__Optuna_BestRun
2022-07-01_124331,gaussian_blur,0.6592,TinyCNN__Optuna_BestRun
2022-07-01_124331,elastic_transform,0.7743,TinyCNN__Optuna_BestRun
2022-07-01_124331,jpeg_compression,0.9754,TinyCNN__Optuna_BestRun
2022-07-01_124331,speckle_noise,0.878,TinyCNN__Optuna_BestRun
2022-07-01_124331,glass_blur,0.895,TinyCNN__Optuna_BestRun
2022-07-01_124331,spatter,0.9573,TinyCNN__Optuna_BestRun
2022-07-01_124331,translate,0.3871,TinyCNN__Optuna_BestRun
2022-07-01_124331,fog,0.5237,TinyCNN__Optuna_BestRun
2022-07-01_124331,shear,0.9468,TinyCNN__Optuna_BestRun
2022-07-01_124331,scale,0.7072,TinyCNN__Optuna_BestRun
2022-07-01_124331,zigzag,0.6911,TinyCNN__Optuna_BestRun
2022-07-01_124331,defocus_blur,0.6478,TinyCNN__Optuna_BestRun
2022-07-01_124331,gaussian_noise,0.4705,TinyCNN__Optuna_BestRun
2022-07-01_124331,contrast,0.1291,TinyCNN__Optuna_BestRun
2022-07-01_124331,canny_edges,0.4434,TinyCNN__Optuna_BestRun
2022-07-01_124331,zoom_blur,0.9344,TinyCNN__Optuna_BestRun
2022-07-01_124331,line,0.7592,TinyCNN__Optuna_BestRun
2022-07-01_124331,pessimal_noise,0.8422,TinyCNN__Optuna_BestRun
2022-07-01_124331,rotate,0.863,TinyCNN__Optuna_BestRun
2022-07-01_124331,brightness,0.5087,TinyCNN__Optuna_BestRun
2022-07-01_124331,shot_noise,0.8429,TinyCNN__Optuna_BestRun
2022-07-01_124331,saturate,0.892,TinyCNN__Optuna_BestRun
2022-07-01_124331,motion_blur,0.9114,TinyCNN__Optuna_BestRun
2022-07-01_124331,snow,0.6747,TinyCNN__Optuna_BestRun
2022-07-01_124331,inverse,0.0808,TinyCNN__Optuna_BestRun
2022-07-01_124331,impulse_noise,0.5349,TinyCNN__Optuna_BestRun
2022-07-01_124331,stripe,0.6478,TinyCNN__Optuna_BestRun
2022-07-01_124331,quantize,0.9584,TinyCNN__Optuna_BestRun
2022-07-01_124331,frost,0.4773,TinyCNN__Optuna_BestRun
