model,mnist_c_variant,accuracy,model_type
2022-07-01_130352,identity,0.9815,TinyCNN__Optuna_BestRun
2022-07-01_130352,pixelate,0.9127,TinyCNN__Optuna_BestRun
2022-07-01_130352,dotted_line,0.8495,TinyCNN__Optuna_BestRun
2022-07-01_130352,gaussian_blur,0.6359,TinyCNN__Optuna_BestRun
2022-07-01_130352,elastic_transform,0.757,TinyCNN__Optuna_BestRun
2022-07-01_130352,jpeg_compression,0.9751,TinyCNN__Optuna_BestRun
2022-07-01_130352,speckle_noise,0.851,TinyCNN__Optuna_BestRun
2022-07-01_130352,glass_blur,0.8243,TinyCNN__Optuna_BestRun
2022-07-01_130352,spatter,0.9631,TinyCNN__Optuna_BestRun
2022-07-01_130352,translate,0.3762,TinyCNN__Optuna_BestRun
2022-07-01_130352,fog,0.5583,TinyCNN__Optuna_BestRun
2022-07-01_130352,shear,0.9448,TinyCNN__Optuna_BestRun
2022-07-01_130352,scale,0.81,TinyCNN__Optuna_BestRun
2022-07-01_130352,zigzag,0.7284,TinyCNN__Optuna_BestRun
2022-07-01_130352,defocus_blur,0.5204,TinyCNN__Optuna_BestRun
2022-07-01_130352,gaussian_noise,0.3656,TinyCNN__Optuna_BestRun
2022-07-01_130352,contrast,0.1136,TinyCNN__Optuna_BestRun
2022-07-01_130352,canny_edges,0.3602,TinyCNN__Optuna_BestRun
2022-07-01_130352,zoom_blur,0.9352,TinyCNN__Optuna_BestRun
2022-07-01_130352,line,0.7815,TinyCNN__Optuna_BestRun
2022-07-01_130352,pessimal_noise,0.8928,TinyCNN__Optuna_BestRun
2022-07-01_130352,rotate,0.8697,TinyCNN__Optuna_BestRun
2022-07-01_130352,brightness,0.4598,TinyCNN__Optuna_BestRun
2022-07-01_130352,shot_noise,0.8021,TinyCNN__Optuna_BestRun
2022-07-01_130352,saturate,0.8041,TinyCNN__Optuna_BestRun
2022-07-01_130352,motion_blur,0.8359,TinyCNN__Optuna_BestRun
2022-07-01_130352,snow,0.6511,TinyCNN__Optuna_BestRun
2022-07-01_130352,inverse,0.1008,TinyCNN__Optuna_BestRun
2022-07-01_130352,impulse_noise,0.4466,TinyCNN__Optuna_BestRun
2022-07-01_130352,stripe,0.7647,TinyCNN__Optuna_BestRun
2022-07-01_130352,quantize,0.9437,TinyCNN__Optuna_BestRun
2022-07-01_130352,frost,0.4938,TinyCNN__Optuna_BestRun
