model,mnist_c_variant,accuracy,model_type
2022-07-01_140041,identity,0.969,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,pixelate,0.9422,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,dotted_line,0.8089,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,gaussian_blur,0.8668,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,elastic_transform,0.699,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,jpeg_compression,0.9656,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,speckle_noise,0.9576,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,glass_blur,0.9223,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,spatter,0.9424,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,translate,0.2799,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,fog,0.5505,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,shear,0.9219,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,scale,0.5892,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,zigzag,0.5926,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,defocus_blur,0.8604,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,gaussian_noise,0.6386,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,contrast,0.1517,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,canny_edges,0.5762,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,zoom_blur,0.9448,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,line,0.7448,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,pessimal_noise,0.8034,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,rotate,0.8355,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,brightness,0.8583,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,shot_noise,0.9534,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,saturate,0.7297,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,motion_blur,0.8516,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,snow,0.8548,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,inverse,0.1264,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,impulse_noise,0.5116,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,stripe,0.833,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,quantize,0.9608,TinyLateralNet__Optuna_BestRun
2022-07-01_140041,frost,0.7431,TinyLateralNet__Optuna_BestRun
