model,mnist_c_variant,accuracy,model_type
2022-07-01_123026,identity,0.967,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,pixelate,0.9135,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,dotted_line,0.5252,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,gaussian_blur,0.86,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,elastic_transform,0.7223,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,jpeg_compression,0.9452,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,speckle_noise,0.9591,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,glass_blur,0.8908,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,spatter,0.8841,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,translate,0.339,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,fog,0.5762,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,shear,0.911,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,scale,0.6684,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,zigzag,0.6231,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,defocus_blur,0.8221,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,gaussian_noise,0.5647,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,contrast,0.2824,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,canny_edges,0.5311,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,zoom_blur,0.9179,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,line,0.5661,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,pessimal_noise,0.8199,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,rotate,0.8338,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,brightness,0.4407,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,shot_noise,0.9517,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,saturate,0.9256,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,motion_blur,0.8765,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,snow,0.6968,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,inverse,0.0948,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,impulse_noise,0.5341,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,stripe,0.31,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,quantize,0.945,TinyLateralNet__Optuna_BestRun
2022-07-01_123026,frost,0.4413,TinyLateralNet__Optuna_BestRun
