model,mnist_c_variant,accuracy,model_type
2022-07-05_005822,identity,0.9749,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,pixelate,0.9513,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,dotted_line,0.7186,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,gaussian_blur,0.8837,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,elastic_transform,0.7482,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,jpeg_compression,0.9646,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,speckle_noise,0.9707,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,glass_blur,0.9056,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,spatter,0.9132,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,translate,0.3593,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,fog,0.461,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,shear,0.928,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,scale,0.5037,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,zigzag,0.5399,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,defocus_blur,0.8922,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,gaussian_noise,0.3902,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,contrast,0.5538,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,canny_edges,0.7056,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,zoom_blur,0.9461,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,line,0.6442,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,pessimal_noise,0.8163,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,rotate,0.8456,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,brightness,0.3609,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,shot_noise,0.9657,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,saturate,0.8238,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,motion_blur,0.8934,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,snow,0.5426,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,inverse,0.081,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,impulse_noise,0.4102,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,stripe,0.4401,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,quantize,0.9713,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005822,frost,0.3349,TinyLateralNet__Optuna_BestRun__d1
