model,mnist_c_variant,accuracy,model_type
2022-07-04_234837,identity,0.9659,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,pixelate,0.913,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,dotted_line,0.8856,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,gaussian_blur,0.8578,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,elastic_transform,0.7068,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,jpeg_compression,0.9316,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,speckle_noise,0.9609,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,glass_blur,0.8706,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,spatter,0.8777,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,translate,0.3923,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,fog,0.129,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,shear,0.8961,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,scale,0.6142,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,zigzag,0.6295,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,defocus_blur,0.7985,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,gaussian_noise,0.8189,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,contrast,0.4843,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,canny_edges,0.6379,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,zoom_blur,0.8498,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,line,0.6845,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,pessimal_noise,0.9008,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,rotate,0.8218,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,brightness,0.1009,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,shot_noise,0.9564,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,saturate,0.5511,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,motion_blur,0.7442,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,snow,0.1459,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,inverse,0.177,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,impulse_noise,0.8908,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,stripe,0.0909,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,quantize,0.96,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234837,frost,0.1078,TinyLateralNet__Optuna_BestRun__d1
