model,mnist_c_variant,accuracy,model_type
2022-07-04_234855,identity,0.9803,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,pixelate,0.9631,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,dotted_line,0.9214,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,gaussian_blur,0.9,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,elastic_transform,0.7692,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,jpeg_compression,0.97,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,speckle_noise,0.9439,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,glass_blur,0.9044,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,spatter,0.8977,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,translate,0.4153,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,fog,0.1808,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,shear,0.9185,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,scale,0.7026,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,zigzag,0.6839,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,defocus_blur,0.9212,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,gaussian_noise,0.7002,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,contrast,0.236,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,canny_edges,0.601,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,zoom_blur,0.9306,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,line,0.7514,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,pessimal_noise,0.8847,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,rotate,0.86,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,brightness,0.1066,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,shot_noise,0.9292,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,saturate,0.8161,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,motion_blur,0.8455,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,snow,0.4527,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,inverse,0.0939,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,impulse_noise,0.8218,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,stripe,0.178,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,quantize,0.9706,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234855,frost,0.183,TinyLateralNet__Optuna_BestRun__d1
