model,mnist_c_variant,accuracy,model_type
2022-07-04_234849,identity,0.9603,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,pixelate,0.9302,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,dotted_line,0.6449,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,gaussian_blur,0.8351,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,elastic_transform,0.6942,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,jpeg_compression,0.9477,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,speckle_noise,0.936,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,glass_blur,0.8849,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,spatter,0.9,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,translate,0.3059,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,fog,0.0215,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,shear,0.8914,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,scale,0.613,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,zigzag,0.575,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,defocus_blur,0.771,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,gaussian_noise,0.2949,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,contrast,0.2688,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,canny_edges,0.394,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,zoom_blur,0.8837,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,line,0.4155,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,pessimal_noise,0.611,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,rotate,0.8104,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,brightness,0.3196,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,shot_noise,0.9357,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,saturate,0.2281,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,motion_blur,0.7947,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,snow,0.5568,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,inverse,0.0542,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,impulse_noise,0.3449,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,stripe,0.5412,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,quantize,0.9239,TinyLateralNet__Optuna_BestRun__d1
2022-07-04_234849,frost,0.3604,TinyLateralNet__Optuna_BestRun__d1
