model,mnist_c_variant,accuracy,model_type
2022-07-05_020317,identity,0.9251,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,pixelate,0.8602,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,dotted_line,0.8431,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,gaussian_blur,0.7463,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,elastic_transform,0.6071,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,jpeg_compression,0.8933,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,speckle_noise,0.9386,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,glass_blur,0.821,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,spatter,0.8546,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,translate,0.247,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,fog,0.1243,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,shear,0.8116,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,scale,0.5025,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,zigzag,0.5045,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,defocus_blur,0.6514,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,gaussian_noise,0.5174,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,contrast,0.3774,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,canny_edges,0.675,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,zoom_blur,0.5351,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,line,0.608,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,pessimal_noise,0.6925,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,rotate,0.7374,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,brightness,0.0892,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,shot_noise,0.9352,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,saturate,0.2,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,motion_blur,0.6474,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,snow,0.1574,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,inverse,0.0916,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,impulse_noise,0.8581,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,stripe,0.1169,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,quantize,0.922,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020317,frost,0.1018,TinyLateralNet__Optuna_BestRun__d1
