model,mnist_c_variant,accuracy,model_type
2022-07-05_005834,identity,0.9619,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,pixelate,0.9004,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,dotted_line,0.7157,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,gaussian_blur,0.7495,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,elastic_transform,0.7499,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,jpeg_compression,0.9359,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,speckle_noise,0.9041,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,glass_blur,0.8696,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,spatter,0.8334,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,translate,0.3929,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,fog,0.0829,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,shear,0.8959,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,scale,0.6752,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,zigzag,0.5528,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,defocus_blur,0.6403,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,gaussian_noise,0.2691,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,contrast,0.173,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,canny_edges,0.522,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,zoom_blur,0.8976,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,line,0.6311,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,pessimal_noise,0.7789,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,rotate,0.8435,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,brightness,0.0747,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,shot_noise,0.8476,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,saturate,0.0616,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,motion_blur,0.8215,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,snow,0.1949,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,inverse,0.102,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,impulse_noise,0.3329,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,stripe,0.2527,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,quantize,0.8566,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_005834,frost,0.0747,TinyLateralNet__Optuna_BestRun__d1
