model,mnist_c_variant,accuracy,model_type
2022-07-05_020904,identity,0.9338,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,pixelate,0.876,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,dotted_line,0.8539,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,gaussian_blur,0.8026,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,elastic_transform,0.6084,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,jpeg_compression,0.9183,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,speckle_noise,0.9381,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,glass_blur,0.8508,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,spatter,0.8735,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,translate,0.2241,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,fog,0.1142,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,shear,0.8339,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,scale,0.39,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,zigzag,0.5759,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,defocus_blur,0.7575,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,gaussian_noise,0.771,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,contrast,0.3875,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,canny_edges,0.6859,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,zoom_blur,0.7097,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,line,0.6359,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,pessimal_noise,0.7251,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,rotate,0.7638,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,brightness,0.098,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,shot_noise,0.9279,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,saturate,0.098,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,motion_blur,0.6427,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,snow,0.098,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,inverse,0.098,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,impulse_noise,0.8755,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,stripe,0.098,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,quantize,0.9255,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_020904,frost,0.098,TinyLateralNet__Optuna_BestRun__d1
