,model,mnist_c_variant,accuracy
66,VGG19_LCL_2022-04-06_015226__it13750_e2.pt,impulse_noise,0.9732
67,VGG19_LCL_2022-04-06_015226__it13750_e2.pt,defocus_blur,0.935
68,VGG19_LCL_2022-04-06_015226__it13750_e2.pt,spatter,0.9718
69,VGG19_LCL_2022-04-06_015226__it13750_e2.pt,dotted_line,0.981
70,VGG19_LCL_2022-04-06_015226__it13750_e2.pt,gaussian_noise,0.9788
71,VGG19_LCL_2022-04-06_015226__it13750_e2.pt,pixelate,0.9704
72,VGG19_LCL_2022-04-06_015226__it13750_e2.pt,zoom_blur,0.9773
73,VGG19_LCL_2022-04-06_015226__it13750_e2.pt,shot_noise,0.9855
74,VGG19_LCL_2022-04-06_015226__it13750_e2.pt,fog,0.9802
75,VGG19_LCL_2022-04-06_023811__it16250_e3.pt,line,0.8643
76,VGG19_LCL_2022-04-06_023811__it16250_e3.pt,elastic_transform,0.8796
77,VGG19_LCL_2022-04-06_023811__it16250_e3.pt,zigzag,0.9012
78,VGG19_LCL_2022-04-06_023811__it16250_e3.pt,motion_blur,0.9521
79,VGG19_LCL_2022-04-06_023811__it16250_e3.pt,gaussian_blur,0.9447
80,VGG19_LCL_2022-04-06_023811__it16250_e3.pt,pessimal_noise,0.9058
81,VGG19_LCL_2022-04-06_023811__it16250_e3.pt,impulse_noise,0.9811
82,VGG19_LCL_2022-04-06_023811__it16250_e3.pt,defocus_blur,0.947
83,VGG19_LCL_2022-04-06_023811__it16250_e3.pt,spatter,0.9832
84,VGG19_LCL_2022-04-06_023811__it16250_e3.pt,dotted_line,0.9725
85,VGG19_LCL_2022-04-06_023811__it16250_e3.pt,gaussian_noise,0.9713
86,VGG19_LCL_2022-04-06_023811__it16250_e3.pt,pixelate,0.9758
87,VGG19_LCL_2022-04-06_023811__it16250_e3.pt,zoom_blur,0.9794
88,VGG19_LCL_2022-04-06_023811__it16250_e3.pt,shot_noise,0.9867
89,VGG19_LCL_2022-04-06_023811__it16250_e3.pt,fog,0.8619
